segment_value,user_days,users,total_effect,direct_effect,indirect_effect,mediator_shift,segment
low prior activity,2733,133,2.1265781137797033,2.328644404131043,-0.20206629035133966,0.019460330546273146,prior_activity_group
medium prior activity,2733,133,3.9689520180430424,4.0530227487672414,-0.08407073072419938,0.017694616781133148,prior_activity_group
high prior activity,2733,133,3.52525703812298,3.4140185883340752,0.11123844978890528,0.018001411162826,prior_activity_group
low prior satisfaction,2733,133,2.990348448868961,2.8695910265520763,0.12075742231688488,0.01648701910622642,prior_satisfaction_group
medium prior satisfaction,2733,130,3.5906568751572436,3.7332872672363684,-0.14263039207912462,0.01575936612203296,prior_satisfaction_group
high prior satisfaction,2733,113,3.039781845919521,3.1928074474439154,-0.15302560152439404,0.022909973261972912,prior_satisfaction_group
low prior discovery,2733,133,2.0592121479720427,2.165613704253052,-0.10640155628100924,0.01844084400713281,prior_discovery_group
medium prior discovery,2733,133,3.3925173042271695,3.3729074780579644,0.019609826169205615,0.016643267752498747,prior_discovery_group
high prior discovery,2733,133,4.169057717746514,4.257164558921344,-0.08810684117483016,0.020072246730600735,prior_discovery_group
UNKNOWN,184,3,4.418056034859786,4.5911336662817614,-0.17307763142197566,0.024138553232221915,user_active_degree
full_active,7133,115,3.191530961552865,3.2484818214954267,-0.056950859942561605,0.018099110737062038,user_active_degree
high_active,882,15,3.078796685137053,3.124058620708974,-0.04526193557192137,0.01950099441225906,user_active_degree
