Outcome,Estimand,Estimate,CI lower,CI upper,Relative effect,Proportion mediated
Future 7-day interactions,Total effect,37.27813008255753,32.244354129313265,42.81347884461512,0.1152026307152767,-0.0350791935020702
Future 7-day interactions,Natural direct effect,38.58581682111891,33.36342119318997,43.71538143738037,0.1192438460900854,-0.0350791935020702
Future 7-day interactions,Natural indirect effect,-1.3076867385613804,-2.3047054768591027,-0.42898791099555,-0.0036106657087516,-0.0350791935020702
Future 7-day interactions,Satisfaction-depth shift,0.0230521491252482,0.018513481160214,0.027921419923863,,
Future 7-day active days,Total effect,0.0073721455909672,-0.0452146810005079,0.0631007939981043,0.0011475916621943,0.7174592683820669
Future 7-day active days,Natural direct effect,0.0020829314088657,-0.0448528751494146,0.0648008422042064,0.000324241387835,0.7174592683820669
Future 7-day active days,Natural indirect effect,0.0052892141821014,-0.0144742884106555,0.020117527266129,0.0008230833966564,0.7174592683820669
Future 7-day active days,Satisfaction-depth shift,0.0230521491252482,0.018513481160214,0.027921419923863,,
Future 7-day play hours,Total effect,0.0783502483372821,0.0688649316174425,0.0954348373455765,0.0999561562129879,0.0562372698233917
Future 7-day play hours,Natural direct effect,0.0739440442808086,0.063002823273505,0.0926826169095055,0.094334894885529,0.0562372698233917
Future 7-day play hours,Natural indirect effect,0.0044062040564734,0.0014256310235787,0.006026031845178,0.0051366920252021,0.0562372698233917
Future 7-day play hours,Satisfaction-depth shift,0.0230521491252482,0.018513481160214,0.027921419923863,,
