diagnostic,value
treatment_rate,0.500060983046713
propensity_min,0.018945098646738046
propensity_p01,0.02902675214767295
propensity_p05,0.041963205284487846
propensity_median,0.5743786550150974
propensity_p95,0.8595689718193087
propensity_p99,0.9303458191269149
propensity_max,0.9823583199690265
share_propensity_below_0_05,0.06976460543968777
share_propensity_above_0_95,0.0017075253079643859
capped_weight_mean,0.9581595040776166
capped_weight_max,4.363525667403392
effective_sample_size,5701.367672618814
