segment_col,segment,rows,treated_rows,control_rows,naive_lift,aipw_lift,standard_error,ci_95_lower,ci_95_upper,promotion_opportunities
subcategory,baseball_mlb,607,38,569,0.10873184719267412,0.09688293532062074,0.06628281838464153,-0.03303138871327667,0.22679725935451817,569
candidate_set_bucket,1-10,2350,1224,1126,0.12936068447509258,0.03366738291245831,0.01594544446146359,0.002414311767989681,0.06492045405692695,1126
subcategory,elections-2020-us,893,111,782,0.05178452109398401,0.030717809660643452,0.06412808331249654,-0.09497323363184977,0.15640885295313667,782
subcategory,travelnews,1244,81,1163,0.11633387471736567,0.025090696350204805,0.02640208158209234,-0.026657383550696183,0.0768387762511058,1163
subcategory,weathertopstories,843,103,740,0.12450800314877986,0.016738034070250905,0.029987726583955435,-0.042037910034301754,0.07551397817480356,740
category,weather,843,103,740,0.12450800314877986,0.016738034070250905,0.029987726583955435,-0.042037910034301754,0.07551397817480356,740
subcategory,tvnews,793,97,696,0.15015108425168858,0.016493026099577535,0.02973103123700846,-0.041779795124959045,0.07476584732411412,696
subcategory,voices,736,35,701,0.020052985530874257,0.015556177735885997,0.036031649295399926,-0.055065854883097856,0.08617821035486985,701
category,sports,5993,522,5471,0.11751933391739516,0.015348317288948933,0.01483271937475205,-0.013723812685565084,0.04442044726346295,5471
category,travel,3291,180,3111,0.06285224472302582,0.011559782576241443,0.01500055810052617,-0.01784131130078985,0.04096087645327273,3111
subcategory,basketball_nba,574,53,521,0.06362944989678776,0.010106322876258506,0.02961091255829962,-0.04793106573800875,0.06814371149052577,521
subcategory,newsworld,3339,304,3035,0.06015564033642591,0.00977306564452078,0.009968429115583186,-0.009765055422022264,0.029311186711063822,3035
subcategory,lifestylebuzz,1469,95,1374,0.013667356163334102,0.009581444877636144,0.030266432879486955,-0.04974076356615829,0.06890365332143057,1374
history_bucket,0,1303,88,1215,0.09537037037037037,0.007524390525871471,0.02350684905890387,-0.038549033629580114,0.053597814681323054,1215
time_of_day,overnight,8572,624,7948,0.07035474171860684,0.006845517075332809,0.011823432332138815,-0.01632841029565927,0.030019444446324886,7948
subcategory,music-celebrity,983,130,853,0.13500766525385519,0.0067800499083580535,0.030136122491510105,-0.05228675017500175,0.06584684999171786,853
candidate_set_bucket,26-50,14087,1227,12860,0.007525213540339762,0.006038788045602477,0.007382245543318709,-0.008430413219302192,0.02050798931050715,12860
subcategory,autosnews,801,55,746,0.029076285644650254,0.005700376409254617,0.02647380682465436,-0.04618828496706793,0.05758903778557716,746
category,foodanddrink,3837,218,3619,0.02586628674858228,0.0025978322061134874,0.014478841195851359,-0.025780696537755173,0.03097636094998215,3619
item_exposure_quartile,Q2,15000,953,14047,0.041633428056059144,-0.0008283938018717995,0.00674367656419991,-0.014045999867703624,0.012389212263960024,14047
subcategory,finance-companies,1697,200,1497,0.10127588510354042,-0.0008778582927066744,0.010471129273671618,-0.021401271669103043,0.019645555083689696,1497
subcategory,football_nfl,2547,266,2281,0.14569688139682832,-0.0016080782810192365,0.014777597710855425,-0.030572169794295872,0.027356013232257396,2281
time_of_day,afternoon,16578,1301,15277,0.05772554653931848,-0.0022620785100946955,0.006505880023714079,-0.015013603356574291,0.010489446336384899,15277
category,lifestyle,6867,497,6370,0.026267495080372343,-0.002675696170952077,0.01211044239741892,-0.02641216326989316,0.021060770927989005,6370
history_bucket,11-30,19511,1521,17990,0.06840716900579218,-0.003036251778090272,0.0047943206333162436,-0.01243312021939011,0.006360616663209566,17990
