model_family,outcome,target,rmse,mae,r2
linear,Y_future_interactions,mediator,0.10147344305153315,0.07033892151203697,0.18776950962451677
linear,Y_future_interactions,outcome,96.63739534501752,71.10503188571975,0.7128909361094291
lightgbm,Y_future_interactions,mediator,0.08751288318203482,0.06294159384131326,0.3958865847267139
lightgbm,Y_future_interactions,outcome,66.70672673761203,47.09411569901635,0.8631969649861012
xgboost,Y_future_interactions,mediator,0.08702215800369863,0.06247690964326203,0.40264267540389553
xgboost,Y_future_interactions,outcome,66.03570442600379,46.72889378111832,0.8659354047945871
linear,Y_future_play_hours,mediator,0.10147344305153315,0.07033892151203697,0.18776950962451677
linear,Y_future_play_hours,outcome,0.36090950273589917,0.2428420167473241,0.405586685165353
lightgbm,Y_future_play_hours,mediator,0.08751288318203482,0.06294159384131326,0.3958865847267139
lightgbm,Y_future_play_hours,outcome,0.2387679942746436,0.16719481088128468,0.7398378474928388
xgboost,Y_future_play_hours,mediator,0.08702215800369863,0.06247690964326203,0.40264267540389553
xgboost,Y_future_play_hours,outcome,0.23829406750011906,0.1693651110513934,0.7408696059095358
