dataset_name,pair_type,source,target,correlation
linear_gaussian,true_edge,need,match,0.5950206049265355
linear_gaussian,true_edge,intent,match,0.6383235759216325
linear_gaussian,true_edge,match,engagement,0.8209209285807807
linear_gaussian,true_edge,intent,renewal,0.7352330822645672
linear_gaussian,true_edge,engagement,renewal,0.6703898004464146
linear_gaussian,true_edge,engagement,support,0.582085179548866
linear_gaussian,selected_non_edge,need,support,0.3111352534387673
linear_gaussian,selected_non_edge,intent,support,0.30724470710214424
linear_gaussian,selected_non_edge,need,engagement,0.49354262400813614
linear_gaussian,selected_non_edge,match,renewal,0.6653000964147121
linear_nongaussian,true_edge,need,match,0.5571560046177214
linear_nongaussian,true_edge,intent,match,0.6362236905584403
linear_nongaussian,true_edge,match,engagement,0.8311844901460318
linear_nongaussian,true_edge,intent,renewal,0.7324694077012904
linear_nongaussian,true_edge,engagement,renewal,0.688297429077296
linear_nongaussian,true_edge,engagement,support,0.596187765400111
linear_nongaussian,selected_non_edge,need,support,0.26709501453738826
linear_nongaussian,selected_non_edge,intent,support,0.3382349347561511
linear_nongaussian,selected_non_edge,need,engagement,0.4492571130211109
linear_nongaussian,selected_non_edge,match,renewal,0.6676884631111684
nonlinear_continuous,true_edge,need,match,0.49108669940873245
nonlinear_continuous,true_edge,intent,match,0.4222046817760752
nonlinear_continuous,true_edge,match,engagement,0.7095708076909345
nonlinear_continuous,true_edge,intent,renewal,0.5241639432439661
nonlinear_continuous,true_edge,engagement,renewal,0.6983728000339655
nonlinear_continuous,true_edge,engagement,support,0.626990643514814
nonlinear_continuous,selected_non_edge,need,support,0.26583477280287
nonlinear_continuous,selected_non_edge,intent,support,0.207607218784007
nonlinear_continuous,selected_non_edge,need,engagement,0.39154970136726774
nonlinear_continuous,selected_non_edge,match,renewal,0.5955122195262411
hidden_confounder_observed,true_edge,need,match,0.49567129164457147
hidden_confounder_observed,true_edge,intent,match,0.5529966347420824
hidden_confounder_observed,true_edge,match,engagement,0.7961114190176198
hidden_confounder_observed,true_edge,intent,renewal,0.5561932349639772
hidden_confounder_observed,true_edge,engagement,renewal,0.7129449947022799
hidden_confounder_observed,true_edge,engagement,support,0.5469966853480555
hidden_confounder_observed,selected_non_edge,need,support,0.2341757614099516
hidden_confounder_observed,selected_non_edge,intent,support,0.24132716743592308
hidden_confounder_observed,selected_non_edge,need,engagement,0.4051548468459111
hidden_confounder_observed,selected_non_edge,match,renewal,0.7332909587426631
