alpha,source,target,mark,edge_kind,causal_learn_edge,endpoint_at_node1,endpoint_at_node2
0.001,engagement,renewal,-->,directed,engagement --> renewal,TAIL,ARROW
0.001,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
0.001,intent,match,-->,directed,intent --> match,TAIL,ARROW
0.001,intent,renewal,-->,directed,intent --> renewal,TAIL,ARROW
0.001,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
0.001,need,match,-->,directed,need --> match,TAIL,ARROW
0.005,engagement,renewal,-->,directed,engagement --> renewal,TAIL,ARROW
0.005,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
0.005,intent,match,-->,directed,intent --> match,TAIL,ARROW
0.005,intent,renewal,-->,directed,intent --> renewal,TAIL,ARROW
0.005,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
0.005,need,match,-->,directed,need --> match,TAIL,ARROW
0.01,engagement,renewal,-->,directed,engagement --> renewal,TAIL,ARROW
0.01,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
0.01,intent,match,-->,directed,intent --> match,TAIL,ARROW
0.01,intent,renewal,-->,directed,intent --> renewal,TAIL,ARROW
0.01,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
0.01,need,match,-->,directed,need --> match,TAIL,ARROW
0.05,engagement,renewal,-->,directed,engagement --> renewal,TAIL,ARROW
0.05,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
0.05,intent,match,-->,directed,intent --> match,TAIL,ARROW
0.05,intent,renewal,-->,directed,intent --> renewal,TAIL,ARROW
0.05,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
0.05,need,match,-->,directed,need --> match,TAIL,ARROW
0.1,engagement,renewal,-->,directed,engagement --> renewal,TAIL,ARROW
0.1,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
0.1,intent,match,-->,directed,intent --> match,TAIL,ARROW
0.1,intent,renewal,-->,directed,intent --> renewal,TAIL,ARROW
0.1,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
0.1,need,match,-->,directed,need --> match,TAIL,ARROW
0.2,engagement,renewal,-->,directed,engagement --> renewal,TAIL,ARROW
0.2,engagement,support,---,undirected,engagement --- support,TAIL,TAIL
0.2,intent,match,---,undirected,intent --- match,TAIL,TAIL
0.2,intent,renewal,-->,directed,intent --> renewal,TAIL,ARROW
0.2,match,engagement,---,undirected,match --- engagement,TAIL,TAIL
0.2,match,need,-->,directed,match --> need,TAIL,ARROW
0.2,renewal,need,-->,directed,renewal --> need,TAIL,ARROW
0.2,support,need,-->,directed,support --> need,TAIL,ARROW
