sample_size,source,target,mark,edge_kind,causal_learn_edge,endpoint_at_node1,endpoint_at_node2
100,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
100,intent,match,-->,directed,intent --> match,TAIL,ARROW
100,intent,renewal,---,undirected,intent --- renewal,TAIL,TAIL
100,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
100,need,match,-->,directed,need --> match,TAIL,ARROW
100,renewal,engagement,-->,directed,renewal --> engagement,TAIL,ARROW
150,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
150,intent,match,-->,directed,intent --> match,TAIL,ARROW
150,intent,renewal,---,undirected,intent --- renewal,TAIL,TAIL
150,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
150,need,match,-->,directed,need --> match,TAIL,ARROW
250,intent,match,-->,directed,intent --> match,TAIL,ARROW
250,intent,renewal,---,undirected,intent --- renewal,TAIL,TAIL
250,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
250,need,match,-->,directed,need --> match,TAIL,ARROW
250,renewal,engagement,-->,directed,renewal --> engagement,TAIL,ARROW
250,support,engagement,-->,directed,support --> engagement,TAIL,ARROW
500,engagement,renewal,-->,directed,engagement --> renewal,TAIL,ARROW
500,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
500,intent,match,-->,directed,intent --> match,TAIL,ARROW
500,intent,renewal,-->,directed,intent --> renewal,TAIL,ARROW
500,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
500,need,match,-->,directed,need --> match,TAIL,ARROW
1000,engagement,renewal,-->,directed,engagement --> renewal,TAIL,ARROW
1000,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
1000,intent,match,-->,directed,intent --> match,TAIL,ARROW
1000,intent,renewal,-->,directed,intent --> renewal,TAIL,ARROW
1000,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
1000,need,match,-->,directed,need --> match,TAIL,ARROW
2500,engagement,renewal,-->,directed,engagement --> renewal,TAIL,ARROW
2500,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
2500,intent,match,-->,directed,intent --> match,TAIL,ARROW
2500,intent,renewal,-->,directed,intent --> renewal,TAIL,ARROW
2500,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
2500,need,match,-->,directed,need --> match,TAIL,ARROW
