stable,sample_size,source,target,mark,edge_kind,causal_learn_edge,endpoint_at_node1,endpoint_at_node2
True,150,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
True,150,intent,match,-->,directed,intent --> match,TAIL,ARROW
True,150,intent,renewal,---,undirected,intent --- renewal,TAIL,TAIL
True,150,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
True,150,need,match,-->,directed,need --> match,TAIL,ARROW
True,250,intent,match,-->,directed,intent --> match,TAIL,ARROW
True,250,intent,renewal,---,undirected,intent --- renewal,TAIL,TAIL
True,250,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
True,250,need,match,-->,directed,need --> match,TAIL,ARROW
True,250,renewal,engagement,-->,directed,renewal --> engagement,TAIL,ARROW
True,250,support,engagement,-->,directed,support --> engagement,TAIL,ARROW
True,500,engagement,renewal,-->,directed,engagement --> renewal,TAIL,ARROW
True,500,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
True,500,intent,match,-->,directed,intent --> match,TAIL,ARROW
True,500,intent,renewal,-->,directed,intent --> renewal,TAIL,ARROW
True,500,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
True,500,need,match,-->,directed,need --> match,TAIL,ARROW
False,150,engagement,support,-->,directed,engagement --> support,TAIL,ARROW
False,150,intent,match,-->,directed,intent --> match,TAIL,ARROW
False,150,intent,renewal,---,undirected,intent --- renewal,TAIL,TAIL
False,150,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
False,150,need,match,-->,directed,need --> match,TAIL,ARROW
False,250,intent,match,-->,directed,intent --> match,TAIL,ARROW
False,250,intent,renewal,---,undirected,intent --- renewal,TAIL,TAIL
False,250,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
False,250,need,match,-->,directed,need --> match,TAIL,ARROW
False,250,renewal,engagement,-->,directed,renewal --> engagement,TAIL,ARROW
False,250,support,engagement,-->,directed,support --> engagement,TAIL,ARROW
False,500,intent,match,-->,directed,intent --> match,TAIL,ARROW
False,500,intent,renewal,---,undirected,intent --- renewal,TAIL,TAIL
False,500,match,engagement,-->,directed,match --> engagement,TAIL,ARROW
False,500,need,match,-->,directed,need --> match,TAIL,ARROW
False,500,renewal,engagement,-->,directed,renewal --> engagement,TAIL,ARROW
False,500,support,engagement,-->,directed,support --> engagement,TAIL,ARROW
