run,source,edge_type,target,edge_properties,endpoint_category,alpha
fci_alpha_0.001,need,o->,match,none,partially oriented edge,0.001
fci_alpha_0.001,intent,<->,match,none,possible latent-confounding edge,0.001
fci_alpha_0.001,renewal,-->,intent,"dd,nl",definite directed edge,0.001
fci_alpha_0.001,match,-->,engagement,"dd,nl",definite directed edge,0.001
fci_alpha_0.001,match,<->,renewal,none,possible latent-confounding edge,0.001
fci_alpha_0.001,engagement,<->,renewal,none,possible latent-confounding edge,0.001
fci_alpha_0.001,engagement,-->,support,"dd,nl",definite directed edge,0.001
fci_alpha_0.005,need,o->,match,none,partially oriented edge,0.005
fci_alpha_0.005,intent,o->,match,none,partially oriented edge,0.005
fci_alpha_0.005,intent,o->,renewal,none,partially oriented edge,0.005
fci_alpha_0.005,match,-->,engagement,"dd,nl",definite directed edge,0.005
fci_alpha_0.005,match,<->,renewal,none,possible latent-confounding edge,0.005
fci_alpha_0.005,engagement,<->,renewal,none,possible latent-confounding edge,0.005
fci_alpha_0.005,engagement,-->,support,"dd,nl",definite directed edge,0.005
fci_alpha_0.01,need,o->,match,none,partially oriented edge,0.01
fci_alpha_0.01,intent,o->,match,none,partially oriented edge,0.01
fci_alpha_0.01,intent,o->,renewal,none,partially oriented edge,0.01
fci_alpha_0.01,match,-->,engagement,"dd,nl",definite directed edge,0.01
fci_alpha_0.01,match,<->,renewal,none,possible latent-confounding edge,0.01
fci_alpha_0.01,engagement,<->,renewal,none,possible latent-confounding edge,0.01
fci_alpha_0.01,engagement,-->,support,"dd,nl",definite directed edge,0.01
fci_alpha_0.05,need,o->,match,none,partially oriented edge,0.05
fci_alpha_0.05,need,o->,renewal,none,partially oriented edge,0.05
fci_alpha_0.05,intent,o->,match,none,partially oriented edge,0.05
fci_alpha_0.05,intent,o->,renewal,none,partially oriented edge,0.05
fci_alpha_0.05,match,-->,engagement,"dd,nl",definite directed edge,0.05
fci_alpha_0.05,match,o->,renewal,none,partially oriented edge,0.05
fci_alpha_0.05,engagement,o->,renewal,none,partially oriented edge,0.05
fci_alpha_0.05,engagement,-->,support,"dd,nl",definite directed edge,0.05
fci_alpha_0.1,need,o->,match,none,partially oriented edge,0.1
fci_alpha_0.1,need,o->,renewal,none,partially oriented edge,0.1
fci_alpha_0.1,intent,o->,match,none,partially oriented edge,0.1
fci_alpha_0.1,intent,o->,renewal,none,partially oriented edge,0.1
fci_alpha_0.1,match,-->,engagement,"dd,nl",definite directed edge,0.1
fci_alpha_0.1,match,o->,renewal,none,partially oriented edge,0.1
fci_alpha_0.1,engagement,o->,renewal,none,partially oriented edge,0.1
fci_alpha_0.1,engagement,-->,support,"dd,nl",definite directed edge,0.1
fci_alpha_0.2,need,o->,match,none,partially oriented edge,0.2
fci_alpha_0.2,need,o->,renewal,none,partially oriented edge,0.2
fci_alpha_0.2,intent,o->,match,none,partially oriented edge,0.2
fci_alpha_0.2,intent,o->,renewal,none,partially oriented edge,0.2
fci_alpha_0.2,match,-->,engagement,"dd,nl",definite directed edge,0.2
fci_alpha_0.2,match,o->,renewal,none,partially oriented edge,0.2
fci_alpha_0.2,engagement,o->,renewal,none,partially oriented edge,0.2
fci_alpha_0.2,engagement,-->,support,"dd,nl",definite directed edge,0.2
fci_alpha_0.2,support,o->,renewal,none,partially oriented edge,0.2
