run,source,edge_type,target,edge_properties,endpoint_category
pc_observed,need,-->,match,not_returned,definite directed edge
pc_observed,need,-->,renewal,not_returned,definite directed edge
pc_observed,intent,-->,match,not_returned,definite directed edge
pc_observed,intent,-->,renewal,not_returned,definite directed edge
pc_observed,match,-->,engagement,not_returned,definite directed edge
pc_observed,match,-->,renewal,not_returned,definite directed edge
pc_observed,engagement,-->,renewal,not_returned,definite directed edge
fci_observed,need,o->,match,none,partially oriented edge
fci_observed,need,o->,renewal,none,partially oriented edge
fci_observed,intent,o->,match,none,partially oriented edge
fci_observed,intent,o->,renewal,none,partially oriented edge
fci_observed,match,-->,engagement,"dd,nl",definite directed edge
fci_observed,match,o->,renewal,none,partially oriented edge
fci_observed,engagement,o->,renewal,none,partially oriented edge
