run,message
cdnod_no_background_knowledge,"  0%|          | 0/7 [00:00<?, ?it/s]"
cdnod_no_background_knowledge,"  0%|          | 0/7 [00:00<?, ?it/s]"
cdnod_no_background_knowledge,"Depth=0, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 18157.16it/s]"
cdnod_no_background_knowledge,"Depth=0, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 2024.28it/s] "
cdnod_no_background_knowledge,"Depth=0, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 1986.57it/s]"
cdnod_no_background_knowledge,"Depth=0, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2094.01it/s]"
cdnod_no_background_knowledge,"Depth=0, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 2197.12it/s]"
cdnod_no_background_knowledge,"Depth=0, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 2364.76it/s]"
cdnod_no_background_knowledge,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2575.68it/s]"
cdnod_no_background_knowledge,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2470.14it/s]"
cdnod_no_background_knowledge,"Depth=0, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          "
cdnod_no_background_knowledge,"Depth=1, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 22310.13it/s]"
cdnod_no_background_knowledge,"Depth=1, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 957.17it/s]  "
cdnod_no_background_knowledge,"Depth=1, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 800.44it/s]"
cdnod_no_background_knowledge,"Depth=1, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 875.27it/s]"
cdnod_no_background_knowledge,"Depth=1, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 958.74it/s]"
cdnod_no_background_knowledge,"Depth=1, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 988.45it/s]"
cdnod_no_background_knowledge,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1127.98it/s]"
cdnod_no_background_knowledge,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1113.48it/s]"
cdnod_no_background_knowledge,"Depth=1, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          "
cdnod_no_background_knowledge,"Depth=2, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 29959.31it/s]"
cdnod_no_background_knowledge,"Depth=2, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 6260.16it/s] "
cdnod_no_background_knowledge,"Depth=2, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 5073.75it/s]"
cdnod_no_background_knowledge,"Depth=2, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2859.10it/s]"
cdnod_no_background_knowledge,"Depth=2, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 2934.31it/s]"
cdnod_no_background_knowledge,"Depth=2, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 1825.33it/s]"
cdnod_no_background_knowledge,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2091.77it/s]"
cdnod_no_background_knowledge,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1972.60it/s]"
cdnod_no_background_knowledge,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1911.59it/s]"
