run,message
cdnod_with_background_knowledge,"  0%|          | 0/7 [00:00<?, ?it/s]"
cdnod_with_background_knowledge,"  0%|          | 0/7 [00:00<?, ?it/s]"
cdnod_with_background_knowledge,"Depth=0, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 34379.54it/s]"
cdnod_with_background_knowledge,"Depth=0, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 2837.82it/s] "
cdnod_with_background_knowledge,"Depth=0, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 2783.83it/s]"
cdnod_with_background_knowledge,"Depth=0, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2912.71it/s]"
cdnod_with_background_knowledge,"Depth=0, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 3079.52it/s]"
cdnod_with_background_knowledge,"Depth=0, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 3308.25it/s]"
cdnod_with_background_knowledge,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 3596.29it/s]"
cdnod_with_background_knowledge,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 3453.73it/s]"
cdnod_with_background_knowledge,"Depth=0, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          "
cdnod_with_background_knowledge,"Depth=1, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 37449.14it/s]"
cdnod_with_background_knowledge,"Depth=1, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 1269.08it/s] "
cdnod_with_background_knowledge,"Depth=1, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 792.18it/s] "
cdnod_with_background_knowledge,"Depth=1, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 823.02it/s]"
cdnod_with_background_knowledge,"Depth=1, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 913.12it/s]"
cdnod_with_background_knowledge,"Depth=1, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 940.85it/s]"
cdnod_with_background_knowledge,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1070.29it/s]"
cdnod_with_background_knowledge,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1059.01it/s]"
cdnod_with_background_knowledge,"Depth=1, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          "
cdnod_with_background_knowledge,"Depth=2, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 31536.12it/s]"
cdnod_with_background_knowledge,"Depth=2, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 6721.64it/s] "
cdnod_with_background_knowledge,"Depth=2, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 5890.88it/s]"
cdnod_with_background_knowledge,"Depth=2, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 3420.43it/s]"
cdnod_with_background_knowledge,"Depth=2, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 3599.64it/s]"
cdnod_with_background_knowledge,"Depth=2, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 2241.74it/s]"
cdnod_with_background_knowledge,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2555.72it/s]"
cdnod_with_background_knowledge,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2400.27it/s]"
cdnod_with_background_knowledge,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2327.58it/s]"
