environment,rows,variable,mean
0,834,need,-0.4197679356015959
1,833,need,-0.047201799558754275
2,833,need,0.46747365825230885
0,834,intent,0.33437530888178585
1,833,intent,0.02719944416304691
2,833,intent,-0.36197616397986493
0,834,match,-0.048747321826929674
1,833,match,0.044692468954740786
2,833,match,0.004113373066458948
0,834,engagement,-0.04438999452065846
1,833,engagement,0.05036599086917222
2,833,engagement,-0.005922707039365248
0,834,renewal,0.1094188200555137
1,833,renewal,0.060080047783954704
2,833,renewal,-0.1696302229655855
0,834,support,-0.025874118385368978
1,833,support,0.03734031410548755
2,833,support,-0.011435134353509497
