run,source,edge_type,target,environment
pc_environment_0,need,-->,match,0
pc_environment_0,intent,-->,match,0
pc_environment_0,intent,---,renewal,0
pc_environment_0,match,-->,engagement,0
pc_environment_0,engagement,-->,renewal,0
pc_environment_0,engagement,-->,support,0
pc_environment_1,need,-->,match,1
pc_environment_1,intent,-->,match,1
pc_environment_1,intent,-->,renewal,1
pc_environment_1,match,-->,engagement,1
pc_environment_1,match,-->,renewal,1
pc_environment_1,engagement,-->,renewal,1
pc_environment_1,engagement,-->,support,1
pc_environment_2,need,-->,match,2
pc_environment_2,intent,-->,match,2
pc_environment_2,intent,-->,renewal,2
pc_environment_2,match,-->,engagement,2
pc_environment_2,engagement,-->,renewal,2
pc_environment_2,engagement,-->,support,2
