run,source,edge_type,target,alpha
structured_cdnod_alpha_0.001,need,-->,match,0.001
structured_cdnod_alpha_0.001,environment,-->,need,0.001
structured_cdnod_alpha_0.001,intent,-->,match,0.001
structured_cdnod_alpha_0.001,intent,-->,renewal,0.001
structured_cdnod_alpha_0.001,environment,-->,intent,0.001
structured_cdnod_alpha_0.001,match,-->,engagement,0.001
structured_cdnod_alpha_0.001,engagement,-->,renewal,0.001
structured_cdnod_alpha_0.001,engagement,-->,support,0.001
structured_cdnod_alpha_0.005,need,-->,match,0.005
structured_cdnod_alpha_0.005,environment,-->,need,0.005
structured_cdnod_alpha_0.005,intent,-->,match,0.005
structured_cdnod_alpha_0.005,intent,-->,renewal,0.005
structured_cdnod_alpha_0.005,environment,-->,intent,0.005
structured_cdnod_alpha_0.005,match,-->,engagement,0.005
structured_cdnod_alpha_0.005,engagement,-->,renewal,0.005
structured_cdnod_alpha_0.005,engagement,-->,support,0.005
structured_cdnod_alpha_0.01,need,-->,match,0.01
structured_cdnod_alpha_0.01,environment,-->,need,0.01
structured_cdnod_alpha_0.01,intent,-->,match,0.01
structured_cdnod_alpha_0.01,intent,-->,renewal,0.01
structured_cdnod_alpha_0.01,environment,-->,intent,0.01
structured_cdnod_alpha_0.01,match,-->,engagement,0.01
structured_cdnod_alpha_0.01,engagement,-->,renewal,0.01
structured_cdnod_alpha_0.01,engagement,-->,support,0.01
structured_cdnod_alpha_0.05,need,-->,match,0.05
structured_cdnod_alpha_0.05,environment,-->,need,0.05
structured_cdnod_alpha_0.05,intent,-->,match,0.05
structured_cdnod_alpha_0.05,intent,-->,renewal,0.05
structured_cdnod_alpha_0.05,environment,-->,intent,0.05
structured_cdnod_alpha_0.05,match,-->,engagement,0.05
structured_cdnod_alpha_0.05,engagement,-->,renewal,0.05
structured_cdnod_alpha_0.05,engagement,-->,support,0.05
structured_cdnod_alpha_0.1,need,-->,match,0.1
structured_cdnod_alpha_0.1,environment,-->,need,0.1
structured_cdnod_alpha_0.1,intent,-->,match,0.1
structured_cdnod_alpha_0.1,intent,-->,renewal,0.1
structured_cdnod_alpha_0.1,environment,-->,intent,0.1
structured_cdnod_alpha_0.1,match,-->,engagement,0.1
structured_cdnod_alpha_0.1,engagement,-->,renewal,0.1
structured_cdnod_alpha_0.1,engagement,-->,support,0.1
structured_cdnod_alpha_0.1,environment,-->,renewal,0.1
structured_cdnod_alpha_0.2,need,-->,match,0.2
structured_cdnod_alpha_0.2,environment,-->,need,0.2
structured_cdnod_alpha_0.2,intent,-->,match,0.2
structured_cdnod_alpha_0.2,intent,-->,renewal,0.2
structured_cdnod_alpha_0.2,environment,-->,intent,0.2
structured_cdnod_alpha_0.2,match,-->,engagement,0.2
structured_cdnod_alpha_0.2,engagement,-->,renewal,0.2
structured_cdnod_alpha_0.2,engagement,-->,support,0.2
structured_cdnod_alpha_0.2,environment,-->,renewal,0.2
