run,message,alpha
structured_cdnod_alpha_0.001,"  0%|          | 0/7 [00:00<?, ?it/s]",0.001
structured_cdnod_alpha_0.001,"  0%|          | 0/7 [00:00<?, ?it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=0, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 33554.43it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=0, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 2708.62it/s] ",0.001
structured_cdnod_alpha_0.001,"Depth=0, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 2725.34it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=0, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2854.72it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=0, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 3048.19it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=0, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 3262.36it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 3527.17it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 3379.78it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=0, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.001
structured_cdnod_alpha_0.001,"Depth=1, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 39568.91it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=1, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 1317.10it/s] ",0.001
structured_cdnod_alpha_0.001,"Depth=1, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 1073.35it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=1, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 1141.93it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=1, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 1198.03it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=1, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 1185.89it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1345.87it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1325.09it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=1, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.001
structured_cdnod_alpha_0.001,"Depth=2, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 28728.11it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=2, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 20311.40it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=2, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 6696.60it/s] ",0.001
structured_cdnod_alpha_0.001,"Depth=2, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2829.69it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=2, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 2819.13it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=2, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 2390.60it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2711.50it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2420.46it/s]",0.001
structured_cdnod_alpha_0.001,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2338.89it/s]",0.001
structured_cdnod_alpha_0.005,"  0%|          | 0/7 [00:00<?, ?it/s]",0.005
structured_cdnod_alpha_0.005,"  0%|          | 0/7 [00:00<?, ?it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=0, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 31775.03it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=0, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 2412.60it/s] ",0.005
structured_cdnod_alpha_0.005,"Depth=0, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 2324.14it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=0, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2373.35it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=0, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 2501.97it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=0, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 2647.08it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2847.46it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2722.06it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=0, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.005
structured_cdnod_alpha_0.005,"Depth=1, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 28149.69it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=1, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 1054.24it/s] ",0.005
structured_cdnod_alpha_0.005,"Depth=1, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 871.33it/s] ",0.005
structured_cdnod_alpha_0.005,"Depth=1, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 928.30it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=1, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 999.21it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=1, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 1015.49it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1156.05it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1140.20it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=1, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.005
structured_cdnod_alpha_0.005,"Depth=2, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 29746.84it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=2, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 5346.47it/s] ",0.005
structured_cdnod_alpha_0.005,"Depth=2, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 4441.55it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=2, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2483.67it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=2, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 2596.77it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=2, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 1666.83it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1908.24it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1802.23it/s]",0.005
structured_cdnod_alpha_0.005,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1756.62it/s]",0.005
structured_cdnod_alpha_0.01,"  0%|          | 0/7 [00:00<?, ?it/s]",0.01
structured_cdnod_alpha_0.01,"  0%|          | 0/7 [00:00<?, ?it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=0, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 30840.47it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=0, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 2475.25it/s] ",0.01
structured_cdnod_alpha_0.01,"Depth=0, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 2409.13it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=0, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2450.66it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=0, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 2580.79it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=0, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 2759.71it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2975.29it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2846.90it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=0, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.01
structured_cdnod_alpha_0.01,"Depth=1, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 29330.80it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=1, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 1024.75it/s] ",0.01
structured_cdnod_alpha_0.01,"Depth=1, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 856.16it/s] ",0.01
structured_cdnod_alpha_0.01,"Depth=1, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 922.84it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=1, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 1002.65it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=1, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 1017.01it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1159.15it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1144.24it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=1, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.01
structured_cdnod_alpha_0.01,"Depth=2, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 31068.92it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=2, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 5584.96it/s] ",0.01
structured_cdnod_alpha_0.01,"Depth=2, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 4696.87it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=2, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2724.90it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=2, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 2821.41it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=2, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 1769.25it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2025.12it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1895.18it/s]",0.01
structured_cdnod_alpha_0.01,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1844.00it/s]",0.01
structured_cdnod_alpha_0.05,"  0%|          | 0/7 [00:00<?, ?it/s]",0.05
structured_cdnod_alpha_0.05,"  0%|          | 0/7 [00:00<?, ?it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=0, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 29537.35it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=0, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 2492.90it/s] ",0.05
structured_cdnod_alpha_0.05,"Depth=0, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 2420.72it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=0, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2482.57it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=0, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 2604.19it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=0, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 2774.01it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 3004.82it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2850.77it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=0, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.05
structured_cdnod_alpha_0.05,"Depth=1, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 33026.02it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=1, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 1024.00it/s] ",0.05
