phase,step,source_index,target_index,source_variable,target_variable,conditioning_set
forward_insert,1,2,3,match,engagement,[]
forward_insert,2,4,1,renewal,intent,[]
forward_insert,3,4,3,renewal,engagement,[]
forward_insert,4,2,0,match,need,[]
forward_insert,5,1,0,intent,need,['match']
forward_insert,6,3,5,engagement,support,[]
forward_insert,7,1,2,intent,match,['engagement']
forward_insert,8,1,3,intent,engagement,[]
backward_delete,1,0,1,need,intent,['match']
backward_delete,2,1,3,intent,engagement,[]
