run,source,edge_type,target,lambda_value
bic_ges_lambda_0.25,need,-->,match,0.25
bic_ges_lambda_0.25,intent,-->,match,0.25
bic_ges_lambda_0.25,intent,-->,renewal,0.25
bic_ges_lambda_0.25,match,-->,engagement,0.25
bic_ges_lambda_0.25,engagement,-->,renewal,0.25
bic_ges_lambda_0.25,engagement,-->,support,0.25
bic_ges_lambda_0.5,need,-->,match,0.5
bic_ges_lambda_0.5,intent,-->,match,0.5
bic_ges_lambda_0.5,intent,-->,renewal,0.5
bic_ges_lambda_0.5,match,-->,engagement,0.5
bic_ges_lambda_0.5,engagement,-->,renewal,0.5
bic_ges_lambda_0.5,engagement,-->,support,0.5
bic_ges_lambda_1,intent,-->,need,1.0
bic_ges_lambda_1,match,-->,need,1.0
bic_ges_lambda_1,intent,-->,match,1.0
bic_ges_lambda_1,intent,---,renewal,1.0
bic_ges_lambda_1,engagement,-->,match,1.0
bic_ges_lambda_1,engagement,---,renewal,1.0
bic_ges_lambda_1,engagement,---,support,1.0
bic_ges_lambda_2,intent,-->,need,2.0
bic_ges_lambda_2,match,-->,need,2.0
bic_ges_lambda_2,intent,-->,match,2.0
bic_ges_lambda_2,intent,---,renewal,2.0
bic_ges_lambda_2,engagement,-->,match,2.0
bic_ges_lambda_2,engagement,---,renewal,2.0
bic_ges_lambda_2,engagement,---,support,2.0
