section,run,learned_edges_total,definite_directed_edges,true_edges,correct_directed_edges,directed_precision,directed_recall,reversed_true_edges,unresolved_true_adjacencies,missing_true_adjacencies,extra_adjacencies,lambda_value,sample_size,dataset
baseline_bic_ges,bic_ges_linear_gaussian,6,6,6,6,1.0,1.0,0,0,0,0,,,
constraint_based_comparison,pc_fisherz_linear_gaussian,6,6,6,6,1.0,1.0,0,0,0,0,,,
bic_penalty_sensitivity,bic_ges_lambda_0.25,6,6,6,6,1.0,1.0,0,0,0,0,0.25,,
bic_penalty_sensitivity,bic_ges_lambda_0.5,6,6,6,6,1.0,1.0,0,0,0,0,0.5,,
bic_penalty_sensitivity,bic_ges_lambda_1,7,4,6,1,0.25,0.16666666666666666,2,3,0,1,1.0,,
bic_penalty_sensitivity,bic_ges_lambda_2,7,4,6,1,0.25,0.16666666666666666,2,3,0,1,2.0,,
sample_size_sensitivity,bic_ges_n_100,7,2,6,2,1.0,0.3333333333333333,0,4,0,1,,100.0,
sample_size_sensitivity,bic_ges_n_250,6,6,6,6,1.0,1.0,0,0,0,0,,250.0,
sample_size_sensitivity,bic_ges_n_500,6,6,6,6,1.0,1.0,0,0,0,0,,500.0,
sample_size_sensitivity,bic_ges_n_1000,6,6,6,6,1.0,1.0,0,0,0,0,,1000.0,
sample_size_sensitivity,bic_ges_n_2500,6,6,6,6,1.0,1.0,0,0,0,0,,2500.0,
mechanism_stress_test,bic_ges_linear_gaussian,6,6,6,6,1.0,1.0,0,0,0,0,,,linear_gaussian
mechanism_stress_test,bic_ges_linear_nongaussian,7,7,6,6,0.8571428571428571,1.0,0,0,0,1,,,linear_nongaussian
mechanism_stress_test,bic_ges_nonlinear_continuous,9,6,6,1,0.16666666666666666,0.16666666666666666,2,3,0,3,,,nonlinear_continuous
discrete_bdeu_example,bdeu_ges_discrete_mixed,6,2,6,0,0.0,0.0,2,4,0,0,,,
