artifact_type,file_name,relative_path,size_kb
table,09_candidate_graph_score_comparison.csv,outputs/tables/09_candidate_graph_score_comparison.csv,0.2
table,09_exact_search_concept_map.csv,outputs/tables/09_exact_search_concept_map.csv,0.8
table,09_exact_search_edges.csv,outputs/tables/09_exact_search_edges.csv,0.5
table,09_exact_search_metrics.csv,outputs/tables/09_exact_search_metrics.csv,0.3
table,09_exact_search_reporting_checklist.csv,outputs/tables/09_exact_search_reporting_checklist.csv,1.0
table,09_exact_search_stats.csv,outputs/tables/09_exact_search_stats.csv,0.3
table,09_exact_vs_ges_metrics.csv,outputs/tables/09_exact_vs_ges_metrics.csv,0.3
table,09_exact_vs_ges_score_comparison.csv,outputs/tables/09_exact_vs_ges_score_comparison.csv,0.1
table,09_forward_tier_super_graph_edges.csv,outputs/tables/09_forward_tier_super_graph_edges.csv,0.3
table,09_ges_comparison_edges.csv,outputs/tables/09_ges_comparison_edges.csv,0.3
table,09_loaded_dataset_summary.csv,outputs/tables/09_loaded_dataset_summary.csv,0.1
table,09_match_parent_set_scores.csv,outputs/tables/09_match_parent_set_scores.csv,1.4
table,09_max_parent_comparison.csv,outputs/tables/09_max_parent_comparison.csv,0.8
table,09_max_parent_edges.csv,outputs/tables/09_max_parent_edges.csv,1.1
table,09_package_versions.csv,outputs/tables/09_package_versions.csv,0.1
table,09_parent_graph_entry_summary.csv,outputs/tables/09_parent_graph_entry_summary.csv,1.4
table,09_sample_size_sensitivity.csv,outputs/tables/09_sample_size_sensitivity.csv,0.8
table,09_sample_size_sensitivity_edges.csv,outputs/tables/09_sample_size_sensitivity_edges.csv,1.2
table,09_super_graph_comparison.csv,outputs/tables/09_super_graph_comparison.csv,0.6
table,09_too_strict_super_graph_edges.csv,outputs/tables/09_too_strict_super_graph_edges.csv,0.3
table,09_variable_count_scaling.csv,outputs/tables/09_variable_count_scaling.csv,0.3
figure,09_exact_bic_astar_graph.png,outputs/figures/09_exact_bic_astar_graph.png,65.2
figure,09_exact_vs_ges_metrics.png,outputs/figures/09_exact_vs_ges_metrics.png,81.0
figure,09_sample_size_sensitivity.png,outputs/figures/09_sample_size_sensitivity.png,60.3
figure,09_true_dag.png,outputs/figures/09_true_dag.png,60.9
figure,09_variable_count_scaling.png,outputs/figures/09_variable_count_scaling.png,98.1
