run,source,edge_type,target,max_parents
exact_bic_max_parents_1,intent,-->,renewal,1
exact_bic_max_parents_1,match,-->,need,1
exact_bic_max_parents_1,engagement,-->,match,1
exact_bic_max_parents_1,engagement,-->,support,1
exact_bic_max_parents_1,renewal,-->,engagement,1
exact_bic_max_parents_2,need,-->,match,2
exact_bic_max_parents_2,intent,-->,match,2
exact_bic_max_parents_2,intent,-->,renewal,2
exact_bic_max_parents_2,match,-->,engagement,2
exact_bic_max_parents_2,engagement,-->,renewal,2
exact_bic_max_parents_2,engagement,-->,support,2
exact_bic_max_parents_3,need,-->,match,3
exact_bic_max_parents_3,intent,-->,match,3
exact_bic_max_parents_3,intent,-->,renewal,3
exact_bic_max_parents_3,match,-->,engagement,3
exact_bic_max_parents_3,engagement,-->,renewal,3
exact_bic_max_parents_3,engagement,-->,support,3
exact_bic_max_parents_none,need,-->,match,none
exact_bic_max_parents_none,intent,-->,match,none
exact_bic_max_parents_none,intent,-->,renewal,none
exact_bic_max_parents_none,match,-->,engagement,none
exact_bic_max_parents_none,engagement,-->,renewal,none
exact_bic_max_parents_none,engagement,-->,support,none
