artifact_type,path,size_kb
dataset,outputs/datasets/10_linear_gaussian_control.csv,137.19
dataset,outputs/datasets/10_linear_nongaussian.csv,136.71
table,outputs/tables/10_artifact_manifest.csv,2.15
table,outputs/tables/10_bootstrap_direction_counts.csv,0.16
table,outputs/tables/10_bootstrap_probability_matrix.csv,0.23
table,outputs/tables/10_bootstrap_summary.csv,0.08
table,outputs/tables/10_bootstrap_total_effects.csv,0.51
table,outputs/tables/10_causal_order_comparison.csv,0.35
table,outputs/tables/10_coefficient_long.csv,3.23
table,outputs/tables/10_dataset_summary.csv,0.25
table,outputs/tables/10_direct_lingam_residual_independence_p_values.csv,0.68
table,outputs/tables/10_directlingam_coefficient_matrix.csv,0.32
table,outputs/tables/10_distribution_diagnostics.csv,1.82
table,outputs/tables/10_icalingam_coefficient_matrix.csv,0.32
table,outputs/tables/10_lingam_concept_map.csv,0.98
table,outputs/tables/10_lingam_edges.csv,0.87
table,outputs/tables/10_lingam_metrics.csv,0.33
table,outputs/tables/10_lingam_model_summary.csv,0.25
table,outputs/tables/10_lingam_pc_ges_edges.csv,0.56
table,outputs/tables/10_lingam_pc_ges_metrics.csv,0.3
table,outputs/tables/10_lingam_reporting_checklist.csv,1.03
table,outputs/tables/10_need_to_renewal_paths.csv,0.33
table,outputs/tables/10_noise_family_stress_metrics.csv,1.37
table,outputs/tables/10_package_versions.csv,0.12
table,outputs/tables/10_threshold_sensitivity_edges.csv,2.69
table,outputs/tables/10_threshold_sensitivity_metrics.csv,0.48
table,outputs/tables/10_true_coefficient_matrix.csv,0.23
table,outputs/tables/10_true_edges.csv,0.22
table,outputs/tables/10_two_variable_direction_demo.csv,0.11
table,outputs/tables/10_variable_guide.csv,0.44
figure,outputs/figures/10_bootstrap_edge_probabilities.png,65.55
figure,outputs/figures/10_coefficient_matrices.png,92.52
figure,outputs/figures/10_direct_lingam_graph.png,63.28
figure,outputs/figures/10_method_comparison_metrics.png,86.42
figure,outputs/figures/10_noise_family_stress_test.png,95.02
figure,outputs/figures/10_observed_distribution_check.png,239.7
figure,outputs/figures/10_residual_independence_heatmap.png,102.2
figure,outputs/figures/10_threshold_sensitivity.png,73.03
figure,outputs/figures/10_true_lingam_dag.png,65.89
