from,to,effect,probability
need,match,0.7724237119652755,1.0
intent,match,0.6980273393387952,1.0
need,engagement,0.6504132137955961,1.0
intent,engagement,0.6454372095083702,1.0
match,engagement,0.8487285797001728,1.0
need,renewal,0.4281999059155466,1.0
intent,renewal,0.7288687377152508,1.0
match,renewal,0.540323219211689,1.0
engagement,renewal,0.6468950214996847,1.0
need,support,0.34375369599725425,1.0
intent,support,0.39154683683188335,1.0
match,support,0.5066837371141538,1.0
engagement,support,0.5752828364328302,1.0
