matrix,parent,child,coefficient
truth,need,need,0.0
truth,intent,need,0.0
truth,match,need,0.0
truth,engagement,need,0.0
truth,renewal,need,0.0
truth,support,need,0.0
truth,need,intent,0.0
truth,intent,intent,0.0
truth,match,intent,0.0
truth,engagement,intent,0.0
truth,renewal,intent,0.0
truth,support,intent,0.0
truth,need,match,0.75
truth,intent,match,0.7
truth,match,match,0.0
truth,engagement,match,0.0
truth,renewal,match,0.0
truth,support,match,0.0
truth,need,engagement,0.0
truth,intent,engagement,0.0
truth,match,engagement,0.85
truth,engagement,engagement,0.0
truth,renewal,engagement,0.0
truth,support,engagement,0.0
truth,need,renewal,0.0
truth,intent,renewal,0.3
truth,match,renewal,0.0
truth,engagement,renewal,0.65
truth,renewal,renewal,0.0
truth,support,renewal,0.0
truth,need,support,0.0
truth,intent,support,0.0
truth,match,support,0.0
truth,engagement,support,0.55
truth,renewal,support,0.0
truth,support,support,0.0
DirectLiNGAM,need,need,0.0
DirectLiNGAM,intent,need,0.0
DirectLiNGAM,match,need,0.0
DirectLiNGAM,engagement,need,0.0
DirectLiNGAM,renewal,need,0.0
DirectLiNGAM,support,need,0.0
DirectLiNGAM,need,intent,0.0
DirectLiNGAM,intent,intent,0.0
DirectLiNGAM,match,intent,0.0
DirectLiNGAM,engagement,intent,0.0
DirectLiNGAM,renewal,intent,0.0
DirectLiNGAM,support,intent,0.0
DirectLiNGAM,need,match,0.7744997201155044
DirectLiNGAM,intent,match,0.7007068714314005
DirectLiNGAM,match,match,0.0
DirectLiNGAM,engagement,match,0.0
DirectLiNGAM,renewal,match,0.0
DirectLiNGAM,support,match,0.0
DirectLiNGAM,need,engagement,0.0
DirectLiNGAM,intent,engagement,0.0
DirectLiNGAM,match,engagement,0.8487285797001727
DirectLiNGAM,engagement,engagement,0.0
DirectLiNGAM,renewal,engagement,0.0
DirectLiNGAM,support,engagement,0.0
DirectLiNGAM,need,renewal,0.0
DirectLiNGAM,intent,renewal,0.303097747213968
DirectLiNGAM,match,renewal,0.0
DirectLiNGAM,engagement,renewal,0.6423434258798506
DirectLiNGAM,renewal,renewal,0.0
DirectLiNGAM,support,renewal,0.0
DirectLiNGAM,need,support,0.0
DirectLiNGAM,intent,support,0.0
DirectLiNGAM,match,support,0.0
DirectLiNGAM,engagement,support,0.5741823437693044
DirectLiNGAM,renewal,support,0.0
DirectLiNGAM,support,support,0.0
ICALiNGAM,need,need,0.0
ICALiNGAM,intent,need,0.0
ICALiNGAM,match,need,0.0
ICALiNGAM,engagement,need,0.0
ICALiNGAM,renewal,need,0.0
ICALiNGAM,support,need,0.0
ICALiNGAM,need,intent,0.0
ICALiNGAM,intent,intent,0.0
ICALiNGAM,match,intent,0.0
ICALiNGAM,engagement,intent,0.0
ICALiNGAM,renewal,intent,0.0
ICALiNGAM,support,intent,0.0
ICALiNGAM,need,match,0.7744997201155044
ICALiNGAM,intent,match,0.7007068714314005
ICALiNGAM,match,match,0.0
ICALiNGAM,engagement,match,0.0
ICALiNGAM,renewal,match,0.0
ICALiNGAM,support,match,0.0
ICALiNGAM,need,engagement,0.0
ICALiNGAM,intent,engagement,0.0
ICALiNGAM,match,engagement,0.8487285797001727
ICALiNGAM,engagement,engagement,0.0
ICALiNGAM,renewal,engagement,0.0
ICALiNGAM,support,engagement,0.0
ICALiNGAM,need,renewal,0.0
ICALiNGAM,intent,renewal,0.31417851480223413
ICALiNGAM,match,renewal,0.0
ICALiNGAM,engagement,renewal,0.6417909311591391
ICALiNGAM,renewal,renewal,0.0
ICALiNGAM,support,renewal,0.0
ICALiNGAM,need,support,0.0
ICALiNGAM,intent,support,0.0
ICALiNGAM,match,support,0.0
ICALiNGAM,engagement,support,0.5738837182112014
ICALiNGAM,renewal,support,0.0
ICALiNGAM,support,support,0.0
