run,source,edge_type,target,coefficient,abs_coefficient
DirectLiNGAM,engagement,-->,renewal,0.6423434258798506,0.6423434258798506
DirectLiNGAM,engagement,-->,support,0.5741823437693044,0.5741823437693044
DirectLiNGAM,intent,-->,match,0.7007068714314005,0.7007068714314005
DirectLiNGAM,intent,-->,renewal,0.303097747213968,0.303097747213968
DirectLiNGAM,match,-->,engagement,0.8487285797001727,0.8487285797001727
DirectLiNGAM,need,-->,match,0.7744997201155044,0.7744997201155044
ICALiNGAM,engagement,-->,renewal,0.6417909311591391,0.6417909311591391
ICALiNGAM,engagement,-->,support,0.5738837182112014,0.5738837182112014
ICALiNGAM,intent,-->,match,0.7007068714314005,0.7007068714314005
ICALiNGAM,intent,-->,renewal,0.31417851480223413,0.31417851480223413
ICALiNGAM,match,-->,engagement,0.8487285797001727,0.8487285797001727
ICALiNGAM,need,-->,match,0.7744997201155044,0.7744997201155044
