run,source,edge_type,target
DirectLiNGAM,engagement,-->,renewal
DirectLiNGAM,engagement,-->,support
DirectLiNGAM,intent,-->,match
DirectLiNGAM,intent,-->,renewal
DirectLiNGAM,match,-->,engagement
DirectLiNGAM,need,-->,match
PC_FisherZ,need,-->,match
PC_FisherZ,intent,-->,match
PC_FisherZ,intent,-->,renewal
PC_FisherZ,match,-->,engagement
PC_FisherZ,engagement,-->,renewal
PC_FisherZ,engagement,-->,support
GES_BIC,need,-->,match
GES_BIC,intent,-->,match
GES_BIC,intent,-->,renewal
GES_BIC,match,-->,engagement
GES_BIC,engagement,-->,renewal
GES_BIC,engagement,-->,support
