run,learned_edges_total,definite_directed_edges,true_edges,correct_directed_edges,directed_precision,directed_recall,reversed_true_edges,unresolved_true_adjacencies,missing_true_adjacencies,extra_adjacencies,noise_family,seed
laplace_20,6,6,6,6,1.0,1.0,0,0,0,0,laplace,20
laplace_21,6,6,6,6,1.0,1.0,0,0,0,0,laplace,21
laplace_22,6,6,6,6,1.0,1.0,0,0,0,0,laplace,22
laplace_23,6,6,6,6,1.0,1.0,0,0,0,0,laplace,23
laplace_24,6,6,6,6,1.0,1.0,0,0,0,0,laplace,24
laplace_25,6,6,6,6,1.0,1.0,0,0,0,0,laplace,25
laplace_26,6,6,6,6,1.0,1.0,0,0,0,0,laplace,26
laplace_27,6,6,6,6,1.0,1.0,0,0,0,0,laplace,27
laplace_28,6,6,6,6,1.0,1.0,0,0,0,0,laplace,28
laplace_29,6,6,6,6,1.0,1.0,0,0,0,0,laplace,29
gaussian_20,9,9,6,1,0.1111111111111111,0.16666666666666666,4,0,1,4,gaussian,20
gaussian_21,10,10,6,1,0.1,0.16666666666666666,5,0,0,4,gaussian,21
gaussian_22,9,9,6,2,0.2222222222222222,0.3333333333333333,4,0,0,3,gaussian,22
gaussian_23,9,9,6,5,0.5555555555555556,0.8333333333333334,1,0,0,3,gaussian,23
gaussian_24,9,9,6,4,0.4444444444444444,0.6666666666666666,2,0,0,3,gaussian,24
gaussian_25,12,12,6,3,0.25,0.5,3,0,0,6,gaussian,25
gaussian_26,9,9,6,3,0.3333333333333333,0.5,3,0,0,3,gaussian,26
gaussian_27,11,11,6,3,0.2727272727272727,0.5,3,0,0,5,gaussian,27
gaussian_28,9,9,6,2,0.2222222222222222,0.3333333333333333,4,0,0,3,gaussian,28
gaussian_29,7,7,6,5,0.7142857142857143,0.8333333333333334,1,0,0,1,gaussian,29
