run,source,edge_type,target,coefficient,abs_coefficient,threshold
threshold_0.05,engagement,-->,renewal,0.6423434258798506,0.6423434258798506,0.05
threshold_0.05,engagement,-->,support,0.5741823437693044,0.5741823437693044,0.05
threshold_0.05,intent,-->,match,0.7007068714314005,0.7007068714314005,0.05
threshold_0.05,intent,-->,renewal,0.303097747213968,0.303097747213968,0.05
threshold_0.05,match,-->,engagement,0.8487285797001727,0.8487285797001727,0.05
threshold_0.05,need,-->,match,0.7744997201155044,0.7744997201155044,0.05
threshold_0.10,engagement,-->,renewal,0.6423434258798506,0.6423434258798506,0.1
threshold_0.10,engagement,-->,support,0.5741823437693044,0.5741823437693044,0.1
threshold_0.10,intent,-->,match,0.7007068714314005,0.7007068714314005,0.1
threshold_0.10,intent,-->,renewal,0.303097747213968,0.303097747213968,0.1
threshold_0.10,match,-->,engagement,0.8487285797001727,0.8487285797001727,0.1
threshold_0.10,need,-->,match,0.7744997201155044,0.7744997201155044,0.1
threshold_0.15,engagement,-->,renewal,0.6423434258798506,0.6423434258798506,0.15
threshold_0.15,engagement,-->,support,0.5741823437693044,0.5741823437693044,0.15
threshold_0.15,intent,-->,match,0.7007068714314005,0.7007068714314005,0.15
threshold_0.15,intent,-->,renewal,0.303097747213968,0.303097747213968,0.15
threshold_0.15,match,-->,engagement,0.8487285797001727,0.8487285797001727,0.15
threshold_0.15,need,-->,match,0.7744997201155044,0.7744997201155044,0.15
threshold_0.20,engagement,-->,renewal,0.6423434258798506,0.6423434258798506,0.2
threshold_0.20,engagement,-->,support,0.5741823437693044,0.5741823437693044,0.2
threshold_0.20,intent,-->,match,0.7007068714314005,0.7007068714314005,0.2
threshold_0.20,intent,-->,renewal,0.303097747213968,0.303097747213968,0.2
threshold_0.20,match,-->,engagement,0.8487285797001727,0.8487285797001727,0.2
threshold_0.20,need,-->,match,0.7744997201155044,0.7744997201155044,0.2
threshold_0.30,engagement,-->,renewal,0.6423434258798506,0.6423434258798506,0.3
threshold_0.30,engagement,-->,support,0.5741823437693044,0.5741823437693044,0.3
threshold_0.30,intent,-->,match,0.7007068714314005,0.7007068714314005,0.3
threshold_0.30,intent,-->,renewal,0.303097747213968,0.303097747213968,0.3
threshold_0.30,match,-->,engagement,0.8487285797001727,0.8487285797001727,0.3
threshold_0.30,need,-->,match,0.7744997201155044,0.7744997201155044,0.3
threshold_0.45,engagement,-->,renewal,0.6423434258798506,0.6423434258798506,0.45
threshold_0.45,engagement,-->,support,0.5741823437693044,0.5741823437693044,0.45
threshold_0.45,intent,-->,match,0.7007068714314005,0.7007068714314005,0.45
threshold_0.45,match,-->,engagement,0.8487285797001727,0.8487285797001727,0.45
threshold_0.45,need,-->,match,0.7744997201155044,0.7744997201155044,0.45
