x,y,p_value_x_to_y,p_value_y_to_x,preferred_direction,preferred_source,preferred_target,p_value_margin,elapsed_seconds,bootstrap_run,selected_true_direction
x,y,0.0034998030297371807,0.0,x -> y,x,y,0.0034998030297371807,0.2097742143087089,0,True
x,y,0.004733904628987484,0.0,x -> y,x,y,0.004733904628987484,0.19584141904488206,1,True
x,y,0.09382477457010985,0.0,x -> y,x,y,0.09382477457010985,0.1989114060997963,2,True
x,y,0.0531416680209853,0.0,x -> y,x,y,0.0531416680209853,0.20339763117954135,3,True
x,y,0.8940327019577413,0.0,x -> y,x,y,0.8940327019577413,0.20206735096871853,4,True
x,y,0.0625836837612237,0.0,x -> y,x,y,0.0625836837612237,0.2697862018831074,5,True
x,y,0.004926407691991819,0.0,x -> y,x,y,0.004926407691991819,0.2184997764416039,6,True
x,y,0.0007454178840330394,0.0,x -> y,x,y,0.0007454178840330394,0.21827338030561805,7,True
x,y,0.0005039143561027526,0.0,x -> y,x,y,0.0005039143561027526,0.20503344107419252,8,True
x,y,0.20903076924285657,0.0,x -> y,x,y,0.20903076924285657,0.21807650430127978,9,True
x,y,0.03767717189115716,0.0,x -> y,x,y,0.03767717189115716,0.2033395622856915,10,True
x,y,0.03806546637744046,0.0,x -> y,x,y,0.03806546637744046,0.19382280902937055,11,True
x,y,0.3186825892387526,0.0,x -> y,x,y,0.3186825892387526,0.23636325728148222,12,True
x,y,0.023565794156987674,0.0,x -> y,x,y,0.023565794156987674,0.2111799269914627,13,True
x,y,7.730118938631403e-05,0.0,x -> y,x,y,7.730118938631403e-05,0.23950128303840756,14,True
x,y,0.015962042358537598,0.0,x -> y,x,y,0.015962042358537598,0.20278641674667597,15,True
x,y,6.76378980614123e-05,0.0,x -> y,x,y,6.76378980614123e-05,0.20882999897003174,16,True
x,y,0.03603999494627197,0.0,x -> y,x,y,0.03603999494627197,0.2329808510839939,17,True
x,y,0.11634255619515,0.0,x -> y,x,y,0.11634255619515,0.23519209679216146,18,True
x,y,0.013399459793955626,0.0,x -> y,x,y,0.013399459793955626,0.20776817528530955,19,True
x,y,0.5418881060742708,0.0,x -> y,x,y,0.5418881060742708,0.19212652696296573,20,True
x,y,0.004735061510611316,0.0,x -> y,x,y,0.004735061510611316,0.2034397041425109,21,True
x,y,0.013601086778158078,0.0,x -> y,x,y,0.013601086778158078,0.20873221522197127,22,True
x,y,0.02276060861739304,0.0,x -> y,x,y,0.02276060861739304,0.1878244187682867,23,True
x,y,0.002510240315906853,0.0,x -> y,x,y,0.002510240315906853,0.22920310078188777,24,True
