x,y,p_value_x_to_y,p_value_y_to_x,preferred_direction,preferred_source,preferred_target,p_value_margin,elapsed_seconds,decision_label
match,renewal,0.9425146938256285,0.00022776150603787126,match -> renewal,match,renewal,0.9422869323195906,0.16245604993309826,match -> renewal (margin=0.942)
match,support,0.9220148535956207,0.002367054127057955,match -> support,match,support,0.9196477994685628,0.1649561639642343,match -> support (margin=0.920)
need,support,0.9147985948528032,0.0002117045651091054,need -> support,need,support,0.9145868902876941,0.1868257139576599,need -> support (margin=0.915)
need,renewal,0.8711052330023772,3.36269855172322e-06,need -> renewal,need,renewal,0.8711018703038255,0.1560726910829544,need -> renewal (margin=0.871)
need,match,0.7903165544276012,0.06117554234390166,need -> match,need,match,0.7291410120836995,0.1535236770287156,need -> match (margin=0.729)
engagement,renewal,0.6077352378708141,1.357824963577059e-10,engagement -> renewal,engagement,renewal,0.6077352377350316,0.18745616299565881,engagement -> renewal (margin=0.608)
intent,match,0.5713767546476871,0.057782517921350696,intent -> match,intent,match,0.5135942367263364,0.2071542589692399,intent -> match (margin=0.514)
renewal,support,0.5526017142760988,0.059120315571808746,renewal -> support,renewal,support,0.4934813987042901,0.13810145994648337,renewal -> support (margin=0.493)
match,engagement,0.5535501712656152,0.11649319020258586,match -> engagement,match,engagement,0.43705698106302937,0.15730334003455937,match -> engagement (margin=0.437)
intent,renewal,0.5230175352655975,0.09524534905963833,intent -> renewal,intent,renewal,0.42777218620595914,0.18190069193951786,intent -> renewal (margin=0.428)
engagement,support,0.23312276194246662,1.54911894423293e-09,engagement -> support,engagement,support,0.23312276039334767,0.17380323796533048,engagement -> support (margin=0.233)
need,engagement,2.821394651242315e-07,0.20338875835920178,engagement -> need,engagement,need,0.20338847621973666,0.14630233205389231,engagement -> need (margin=0.203)
intent,engagement,0.08260316962874692,0.109301050538542,engagement -> intent,engagement,intent,0.02669788090979508,0.2541310869855806,engagement -> intent (margin=0.027)
intent,support,0.1879874426656326,0.18794602697843765,intent -> support,intent,support,4.1415687194956696e-05,0.22371500101871789,intent -> support (margin=0.000)
need,intent,0.3120013895872613,0.3120075737503444,intent -> need,intent,need,6.18416308306724e-06,0.2132717480417341,intent -> need (margin=0.000)
