run,learned_edges_total,definite_directed_edges,true_edges,correct_directed_edges,directed_precision,directed_recall,reversed_true_edges,unresolved_true_adjacencies,missing_true_adjacencies,extra_adjacencies,depth,seed,elapsed_seconds
GRaSP_depth_1_seed_0,7,2,6,2,1.0,0.3333333333333333,0,4,0,1,1,0,0.01085283001884818
GRaSP_depth_1_seed_1,6,6,6,6,1.0,1.0,0,0,0,0,1,1,0.0075312129920348525
GRaSP_depth_1_seed_2,6,6,6,6,1.0,1.0,0,0,0,0,1,2,0.009002799983136356
GRaSP_depth_1_seed_3,6,6,6,6,1.0,1.0,0,0,0,0,1,3,0.007621196913532913
GRaSP_depth_1_seed_4,7,2,6,2,1.0,0.3333333333333333,0,4,0,1,1,4,0.008292237995192409
GRaSP_depth_2_seed_0,7,2,6,2,1.0,0.3333333333333333,0,4,0,1,2,0,0.008907342911697924
GRaSP_depth_2_seed_1,7,2,6,2,1.0,0.3333333333333333,0,4,0,1,2,1,0.006679198006168008
GRaSP_depth_2_seed_2,6,6,6,6,1.0,1.0,0,0,0,0,2,2,0.007926982012577355
GRaSP_depth_2_seed_3,6,6,6,6,1.0,1.0,0,0,0,0,2,3,0.006135114002972841
GRaSP_depth_2_seed_4,7,2,6,2,1.0,0.3333333333333333,0,4,0,1,2,4,0.008147206041030586
GRaSP_depth_3_seed_0,6,6,6,6,1.0,1.0,0,0,0,0,3,0,0.008818825939670205
GRaSP_depth_3_seed_1,7,2,6,2,1.0,0.3333333333333333,0,4,0,1,3,1,0.0075815190793946385
GRaSP_depth_3_seed_2,6,6,6,6,1.0,1.0,0,0,0,0,3,2,0.008279828005470335
GRaSP_depth_3_seed_3,6,6,6,6,1.0,1.0,0,0,0,0,3,3,0.006273380946367979
GRaSP_depth_3_seed_4,7,2,6,2,1.0,0.3333333333333333,0,4,0,1,3,4,0.008166108978912234
GRaSP_depth_4_seed_0,6,6,6,6,1.0,1.0,0,0,0,0,4,0,0.008980810991488397
GRaSP_depth_4_seed_1,6,6,6,6,1.0,1.0,0,0,0,0,4,1,0.007502040010876954
GRaSP_depth_4_seed_2,6,6,6,6,1.0,1.0,0,0,0,0,4,2,0.008042841916903853
GRaSP_depth_4_seed_3,6,6,6,6,1.0,1.0,0,0,0,0,4,3,0.005639303009957075
GRaSP_depth_4_seed_4,6,6,6,6,1.0,1.0,0,0,0,0,4,4,0.00917620793916285
