run,source,edge_type,target
BOSS,need,-->,match
BOSS,intent,-->,match
BOSS,intent,-->,renewal
BOSS,match,-->,engagement
BOSS,engagement,-->,renewal
BOSS,engagement,-->,support
GRaSP_depth_4,need,-->,match
GRaSP_depth_4,intent,-->,match
GRaSP_depth_4,intent,-->,renewal
GRaSP_depth_4,match,-->,engagement
GRaSP_depth_4,engagement,-->,renewal
GRaSP_depth_4,engagement,-->,support
GES_BIC,need,-->,match
GES_BIC,intent,-->,match
GES_BIC,intent,-->,renewal
GES_BIC,match,-->,engagement
GES_BIC,engagement,-->,renewal
GES_BIC,engagement,-->,support
Exact_BIC_AStar,need,-->,match
Exact_BIC_AStar,intent,-->,match
Exact_BIC_AStar,intent,-->,renewal
Exact_BIC_AStar,match,-->,engagement
Exact_BIC_AStar,engagement,-->,renewal
Exact_BIC_AStar,engagement,-->,support
