run,source,edge_type,target,method,seed
BOSS_seed_0,need,-->,match,BOSS,0
BOSS_seed_0,intent,-->,match,BOSS,0
BOSS_seed_0,intent,-->,renewal,BOSS,0
BOSS_seed_0,match,-->,engagement,BOSS,0
BOSS_seed_0,engagement,-->,renewal,BOSS,0
BOSS_seed_0,engagement,-->,support,BOSS,0
GRaSP_seed_0,need,-->,match,GRaSP_depth_4,0
GRaSP_seed_0,intent,-->,match,GRaSP_depth_4,0
GRaSP_seed_0,intent,-->,renewal,GRaSP_depth_4,0
GRaSP_seed_0,match,-->,engagement,GRaSP_depth_4,0
GRaSP_seed_0,engagement,-->,renewal,GRaSP_depth_4,0
GRaSP_seed_0,engagement,-->,support,GRaSP_depth_4,0
BOSS_seed_1,need,-->,match,BOSS,1
BOSS_seed_1,intent,-->,match,BOSS,1
BOSS_seed_1,intent,-->,renewal,BOSS,1
BOSS_seed_1,match,-->,engagement,BOSS,1
BOSS_seed_1,engagement,-->,renewal,BOSS,1
BOSS_seed_1,engagement,-->,support,BOSS,1
GRaSP_seed_1,need,-->,match,GRaSP_depth_4,1
GRaSP_seed_1,intent,-->,match,GRaSP_depth_4,1
GRaSP_seed_1,intent,-->,renewal,GRaSP_depth_4,1
GRaSP_seed_1,match,-->,engagement,GRaSP_depth_4,1
GRaSP_seed_1,engagement,-->,renewal,GRaSP_depth_4,1
GRaSP_seed_1,engagement,-->,support,GRaSP_depth_4,1
BOSS_seed_2,need,-->,match,BOSS,2
BOSS_seed_2,intent,-->,match,BOSS,2
BOSS_seed_2,intent,-->,renewal,BOSS,2
BOSS_seed_2,match,-->,engagement,BOSS,2
BOSS_seed_2,engagement,-->,renewal,BOSS,2
BOSS_seed_2,engagement,-->,support,BOSS,2
GRaSP_seed_2,need,-->,match,GRaSP_depth_4,2
GRaSP_seed_2,intent,-->,match,GRaSP_depth_4,2
GRaSP_seed_2,intent,-->,renewal,GRaSP_depth_4,2
GRaSP_seed_2,match,-->,engagement,GRaSP_depth_4,2
GRaSP_seed_2,engagement,-->,renewal,GRaSP_depth_4,2
GRaSP_seed_2,engagement,-->,support,GRaSP_depth_4,2
BOSS_seed_3,need,-->,match,BOSS,3
BOSS_seed_3,intent,-->,match,BOSS,3
BOSS_seed_3,intent,-->,renewal,BOSS,3
BOSS_seed_3,match,-->,engagement,BOSS,3
BOSS_seed_3,engagement,-->,renewal,BOSS,3
BOSS_seed_3,engagement,-->,support,BOSS,3
GRaSP_seed_3,need,-->,match,GRaSP_depth_4,3
GRaSP_seed_3,intent,-->,match,GRaSP_depth_4,3
GRaSP_seed_3,intent,-->,renewal,GRaSP_depth_4,3
GRaSP_seed_3,match,-->,engagement,GRaSP_depth_4,3
GRaSP_seed_3,engagement,-->,renewal,GRaSP_depth_4,3
GRaSP_seed_3,engagement,-->,support,GRaSP_depth_4,3
BOSS_seed_4,need,-->,match,BOSS,4
BOSS_seed_4,intent,-->,match,BOSS,4
BOSS_seed_4,intent,-->,renewal,BOSS,4
BOSS_seed_4,match,-->,engagement,BOSS,4
BOSS_seed_4,engagement,-->,renewal,BOSS,4
BOSS_seed_4,engagement,-->,support,BOSS,4
GRaSP_seed_4,need,-->,match,GRaSP_depth_4,4
GRaSP_seed_4,intent,-->,match,GRaSP_depth_4,4
GRaSP_seed_4,intent,-->,renewal,GRaSP_depth_4,4
GRaSP_seed_4,match,-->,engagement,GRaSP_depth_4,4
GRaSP_seed_4,engagement,-->,renewal,GRaSP_depth_4,4
GRaSP_seed_4,engagement,-->,support,GRaSP_depth_4,4
BOSS_seed_5,need,-->,match,BOSS,5
BOSS_seed_5,intent,-->,match,BOSS,5
BOSS_seed_5,intent,-->,renewal,BOSS,5
BOSS_seed_5,match,-->,engagement,BOSS,5
BOSS_seed_5,engagement,-->,renewal,BOSS,5
BOSS_seed_5,engagement,-->,support,BOSS,5
GRaSP_seed_5,need,-->,match,GRaSP_depth_4,5
GRaSP_seed_5,intent,-->,match,GRaSP_depth_4,5
GRaSP_seed_5,intent,-->,renewal,GRaSP_depth_4,5
GRaSP_seed_5,match,-->,engagement,GRaSP_depth_4,5
GRaSP_seed_5,engagement,-->,renewal,GRaSP_depth_4,5
GRaSP_seed_5,engagement,-->,support,GRaSP_depth_4,5
BOSS_seed_6,need,-->,match,BOSS,6
BOSS_seed_6,intent,-->,match,BOSS,6
BOSS_seed_6,intent,-->,renewal,BOSS,6
BOSS_seed_6,match,-->,engagement,BOSS,6
BOSS_seed_6,engagement,-->,renewal,BOSS,6
BOSS_seed_6,engagement,-->,support,BOSS,6
GRaSP_seed_6,need,-->,match,GRaSP_depth_4,6
GRaSP_seed_6,intent,-->,match,GRaSP_depth_4,6
GRaSP_seed_6,intent,-->,renewal,GRaSP_depth_4,6
GRaSP_seed_6,match,-->,engagement,GRaSP_depth_4,6
GRaSP_seed_6,engagement,-->,renewal,GRaSP_depth_4,6
GRaSP_seed_6,engagement,-->,support,GRaSP_depth_4,6
BOSS_seed_7,need,-->,match,BOSS,7
BOSS_seed_7,intent,-->,match,BOSS,7
BOSS_seed_7,intent,-->,renewal,BOSS,7
BOSS_seed_7,match,-->,engagement,BOSS,7
BOSS_seed_7,engagement,-->,renewal,BOSS,7
BOSS_seed_7,engagement,-->,support,BOSS,7
GRaSP_seed_7,need,-->,match,GRaSP_depth_4,7
GRaSP_seed_7,intent,-->,match,GRaSP_depth_4,7
GRaSP_seed_7,intent,-->,renewal,GRaSP_depth_4,7
GRaSP_seed_7,match,-->,engagement,GRaSP_depth_4,7
GRaSP_seed_7,engagement,-->,renewal,GRaSP_depth_4,7
GRaSP_seed_7,engagement,-->,support,GRaSP_depth_4,7
BOSS_seed_8,need,-->,match,BOSS,8
BOSS_seed_8,intent,-->,match,BOSS,8
BOSS_seed_8,intent,-->,renewal,BOSS,8
BOSS_seed_8,match,-->,engagement,BOSS,8
BOSS_seed_8,engagement,-->,renewal,BOSS,8
BOSS_seed_8,engagement,-->,support,BOSS,8
GRaSP_seed_8,need,-->,match,GRaSP_depth_4,8
GRaSP_seed_8,intent,-->,match,GRaSP_depth_4,8
GRaSP_seed_8,intent,-->,renewal,GRaSP_depth_4,8
GRaSP_seed_8,match,-->,engagement,GRaSP_depth_4,8
GRaSP_seed_8,engagement,-->,renewal,GRaSP_depth_4,8
GRaSP_seed_8,engagement,-->,support,GRaSP_depth_4,8
BOSS_seed_9,need,-->,match,BOSS,9
BOSS_seed_9,intent,-->,match,BOSS,9
BOSS_seed_9,intent,-->,renewal,BOSS,9
BOSS_seed_9,match,-->,engagement,BOSS,9
BOSS_seed_9,engagement,-->,renewal,BOSS,9
BOSS_seed_9,engagement,-->,support,BOSS,9
GRaSP_seed_9,need,-->,match,GRaSP_depth_4,9
GRaSP_seed_9,intent,-->,match,GRaSP_depth_4,9
GRaSP_seed_9,intent,-->,renewal,GRaSP_depth_4,9
GRaSP_seed_9,match,-->,engagement,GRaSP_depth_4,9
GRaSP_seed_9,engagement,-->,renewal,GRaSP_depth_4,9
GRaSP_seed_9,engagement,-->,support,GRaSP_depth_4,9
