run,learned_edges_total,definite_directed_edges,true_edges,correct_directed_edges,directed_precision,directed_recall,reversed_true_edges,unresolved_true_adjacencies,missing_true_adjacencies,extra_adjacencies,method,seed,elapsed_seconds,edge_signature
BOSS_seed_0,6,6,6,6,1.0,1.0,0,0,0,0,BOSS,0,0.009880658937618136,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
GRaSP_depth_4_seed_0,6,6,6,6,1.0,1.0,0,0,0,0,GRaSP_depth_4,0,0.008602653979323804,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
BOSS_seed_1,6,6,6,6,1.0,1.0,0,0,0,0,BOSS,1,0.00905508000869304,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
GRaSP_depth_4_seed_1,6,6,6,6,1.0,1.0,0,0,0,0,GRaSP_depth_4,1,0.007404627976939082,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
BOSS_seed_2,6,6,6,6,1.0,1.0,0,0,0,0,BOSS,2,0.00879210198763758,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
GRaSP_depth_4_seed_2,6,6,6,6,1.0,1.0,0,0,0,0,GRaSP_depth_4,2,0.007956309942528605,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
BOSS_seed_3,6,6,6,6,1.0,1.0,0,0,0,0,BOSS,3,0.009217759012244642,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
GRaSP_depth_4_seed_3,6,6,6,6,1.0,1.0,0,0,0,0,GRaSP_depth_4,3,0.005967429024167359,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
BOSS_seed_4,6,6,6,6,1.0,1.0,0,0,0,0,BOSS,4,0.00876318197697401,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
GRaSP_depth_4_seed_4,6,6,6,6,1.0,1.0,0,0,0,0,GRaSP_depth_4,4,0.0101521440083161,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
BOSS_seed_5,6,6,6,6,1.0,1.0,0,0,0,0,BOSS,5,0.00917376100551337,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
GRaSP_depth_4_seed_5,6,6,6,6,1.0,1.0,0,0,0,0,GRaSP_depth_4,5,0.006051589036360383,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
BOSS_seed_6,6,6,6,6,1.0,1.0,0,0,0,0,BOSS,6,0.009013290982693434,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
GRaSP_depth_4_seed_6,6,6,6,6,1.0,1.0,0,0,0,0,GRaSP_depth_4,6,0.007557722041383386,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
BOSS_seed_7,6,6,6,6,1.0,1.0,0,0,0,0,BOSS,7,0.0089146209647879,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
GRaSP_depth_4_seed_7,6,6,6,6,1.0,1.0,0,0,0,0,GRaSP_depth_4,7,0.009085666970349848,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
BOSS_seed_8,6,6,6,6,1.0,1.0,0,0,0,0,BOSS,8,0.008851862978190184,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
GRaSP_depth_4_seed_8,6,6,6,6,1.0,1.0,0,0,0,0,GRaSP_depth_4,8,0.009324381942860782,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
BOSS_seed_9,6,6,6,6,1.0,1.0,0,0,0,0,BOSS,9,0.00869171298108995,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
GRaSP_depth_4_seed_9,6,6,6,6,1.0,1.0,0,0,0,0,GRaSP_depth_4,9,0.006887380033731461,engagement --> renewal | engagement --> support | intent --> match | intent --> renewal | match --> engagement | need --> match
