n_clusters,adjusted_rand_index,mean_cluster_purity,order_matches_truth,learned_majority_order,noise_family,seed,elapsed_seconds
2,1.0,1.0,True,latent_need -> latent_value,laplace,0,0.16005729977041483
2,1.0,1.0,True,latent_need -> latent_value,laplace,1,0.1729317232966423
2,1.0,1.0,True,latent_need -> latent_value,laplace,2,0.18324601324275136
2,1.0,1.0,True,latent_need -> latent_value,laplace,3,0.18965441873297095
2,1.0,1.0,True,latent_need -> latent_value,laplace,4,0.19395477883517742
2,1.0,1.0,True,latent_need -> latent_value,laplace,5,0.1917964080348611
2,1.0,1.0,True,latent_need -> latent_value,laplace,6,0.20769050205126405
2,1.0,1.0,True,latent_need -> latent_value,laplace,7,0.20313333719968796
2,1.0,1.0,True,latent_need -> latent_value,gaussian,0,0.18957724189385772
2,1.0,1.0,True,latent_need -> latent_value,gaussian,1,0.1914536370895803
2,1.0,1.0,False,latent_value -> latent_need,gaussian,2,0.19517366867512465
2,1.0,1.0,False,latent_value -> latent_need,gaussian,3,0.20988392503932118
2,1.0,1.0,False,latent_value -> latent_need,gaussian,4,0.19369062595069408
2,1.0,1.0,False,latent_value -> latent_need,gaussian,5,0.19780222699046135
2,1.0,1.0,True,latent_need -> latent_value,gaussian,6,0.20068449713289738
2,1.0,1.0,False,latent_value -> latent_need,gaussian,7,0.2041535577736795
