n_clusters,adjusted_rand_index,mean_cluster_purity,order_matches_truth,learned_majority_order,n_samples,measurement_noise,elapsed_seconds
2,1.0,1.0,True,latent_need -> latent_value,120,0.15,0.04606063198298216
2,1.0,1.0,True,latent_need -> latent_value,120,0.3,0.05237205699086189
2,0.32432432432432434,0.875,True,latent_need -> latent_value,120,0.6,0.04888793919235468
2,0.32432432432432434,0.875,True,latent_need -> latent_value,120,0.9,0.04074411513283849
2,1.0,1.0,True,latent_need -> latent_value,200,0.15,0.08115509012714028
2,1.0,1.0,False,latent_value -> latent_need,200,0.3,0.08905554609373212
2,1.0,1.0,False,latent_value -> latent_need,200,0.6,0.08397678332403302
2,0.32432432432432434,0.875,True,latent_need -> latent_value,200,0.9,0.08104897197335958
2,1.0,1.0,True,latent_need -> latent_value,300,0.15,0.20566141931340098
2,1.0,1.0,True,latent_need -> latent_value,300,0.3,0.20561761315912008
2,1.0,1.0,True,latent_need -> latent_value,300,0.6,0.1997613850980997
2,1.0,1.0,True,latent_need -> latent_value,300,0.9,0.20373858232051134
2,1.0,1.0,True,latent_need -> latent_value,500,0.15,0.4465731498785317
2,1.0,1.0,True,latent_need -> latent_value,500,0.3,0.3664270332083106
2,1.0,1.0,True,latent_need -> latent_value,500,0.6,0.363653146661818
2,1.0,1.0,True,latent_need -> latent_value,500,0.9,0.353281675837934
