run,source,edge_type,target,scenario,elapsed_seconds,coefficient,abs_coefficient
PC_FisherZ,need,-->,match,linear_laplace,0.008445439976640046,,
PC_FisherZ,intent,-->,match,linear_laplace,0.008445439976640046,,
PC_FisherZ,match,-->,engagement,linear_laplace,0.008445439976640046,,
PC_FisherZ,engagement,-->,support,linear_laplace,0.008445439976640046,,
PC_FisherZ,engagement,-->,renewal,linear_laplace,0.008445439976640046,,
PC_FisherZ,support,---,renewal,linear_laplace,0.008445439976640046,,
GES_BIC,need,-->,match,linear_laplace,0.01599884603638202,,
GES_BIC,need,-->,renewal,linear_laplace,0.01599884603638202,,
GES_BIC,intent,-->,match,linear_laplace,0.01599884603638202,,
GES_BIC,match,-->,engagement,linear_laplace,0.01599884603638202,,
GES_BIC,engagement,-->,support,linear_laplace,0.01599884603638202,,
GES_BIC,engagement,-->,renewal,linear_laplace,0.01599884603638202,,
GES_BIC,support,-->,renewal,linear_laplace,0.01599884603638202,,
DirectLiNGAM,need,-->,match,linear_laplace,0.024484844994731247,0.5240074508380611,0.5240074508380611
DirectLiNGAM,intent,-->,match,linear_laplace,0.024484844994731247,0.455957436497123,0.455957436497123
DirectLiNGAM,match,-->,engagement,linear_laplace,0.024484844994731247,0.7232787646773385,0.7232787646773385
DirectLiNGAM,engagement,-->,support,linear_laplace,0.024484844994731247,-0.6623220759269566,0.6623220759269566
DirectLiNGAM,engagement,-->,renewal,linear_laplace,0.024484844994731247,0.5303977527503756,0.5303977527503756
DirectLiNGAM,support,-->,renewal,linear_laplace,0.024484844994731247,-0.401417409883667,0.401417409883667
PC_FisherZ,need,-->,match,linear_gaussian,0.008193750050850213,,
PC_FisherZ,intent,-->,match,linear_gaussian,0.008193750050850213,,
PC_FisherZ,match,-->,engagement,linear_gaussian,0.008193750050850213,,
PC_FisherZ,engagement,-->,support,linear_gaussian,0.008193750050850213,,
PC_FisherZ,engagement,-->,renewal,linear_gaussian,0.008193750050850213,,
PC_FisherZ,support,---,renewal,linear_gaussian,0.008193750050850213,,
GES_BIC,need,-->,match,linear_gaussian,0.013602480990812182,,
GES_BIC,intent,-->,match,linear_gaussian,0.013602480990812182,,
GES_BIC,match,-->,engagement,linear_gaussian,0.013602480990812182,,
GES_BIC,engagement,-->,support,linear_gaussian,0.013602480990812182,,
GES_BIC,engagement,-->,renewal,linear_gaussian,0.013602480990812182,,
