run,source,edge_type,target,scenario,elapsed_seconds,coefficient,abs_coefficient
PC_FisherZ,need,-->,match,linear_laplace_baseline,0.006987532135099173,,
PC_FisherZ,intent,-->,match,linear_laplace_baseline,0.006987532135099173,,
PC_FisherZ,match,-->,engagement,linear_laplace_baseline,0.006987532135099173,,
PC_FisherZ,engagement,-->,support,linear_laplace_baseline,0.006987532135099173,,
PC_FisherZ,engagement,-->,renewal,linear_laplace_baseline,0.006987532135099173,,
PC_FisherZ,support,---,renewal,linear_laplace_baseline,0.006987532135099173,,
GES_BIC,need,-->,match,linear_laplace_baseline,0.011577743105590343,,
GES_BIC,intent,-->,match,linear_laplace_baseline,0.011577743105590343,,
GES_BIC,match,-->,engagement,linear_laplace_baseline,0.011577743105590343,,
GES_BIC,engagement,-->,support,linear_laplace_baseline,0.011577743105590343,,
GES_BIC,engagement,-->,renewal,linear_laplace_baseline,0.011577743105590343,,
GES_BIC,support,---,renewal,linear_laplace_baseline,0.011577743105590343,,
DirectLiNGAM,need,-->,match,linear_laplace_baseline,0.024742725305259228,0.5347778143676387,0.5347778143676387
DirectLiNGAM,intent,-->,match,linear_laplace_baseline,0.024742725305259228,0.4095427847114872,0.4095427847114872
DirectLiNGAM,match,-->,engagement,linear_laplace_baseline,0.024742725305259228,0.7096816370466484,0.7096816370466484
DirectLiNGAM,engagement,-->,support,linear_laplace_baseline,0.024742725305259228,-0.6577499132053422,0.6577499132053422
DirectLiNGAM,engagement,-->,renewal,linear_laplace_baseline,0.024742725305259228,0.5373822521092192,0.5373822521092192
DirectLiNGAM,support,-->,renewal,linear_laplace_baseline,0.024742725305259228,-0.3710573654285329,0.3710573654285329
