run,source,edge_type,target,coefficient,abs_coefficient,threshold
DirectLiNGAM,need,-->,match,0.5347778143676387,0.5347778143676387,0.05
DirectLiNGAM,intent,-->,match,0.4095427847114872,0.4095427847114872,0.05
DirectLiNGAM,match,-->,engagement,0.7096816370466484,0.7096816370466484,0.05
DirectLiNGAM,engagement,-->,support,-0.6577499132053422,0.6577499132053422,0.05
DirectLiNGAM,engagement,-->,renewal,0.5373822521092192,0.5373822521092192,0.05
DirectLiNGAM,support,-->,renewal,-0.3710573654285329,0.3710573654285329,0.05
DirectLiNGAM,need,-->,match,0.5347778143676387,0.5347778143676387,0.08
DirectLiNGAM,intent,-->,match,0.4095427847114872,0.4095427847114872,0.08
DirectLiNGAM,match,-->,engagement,0.7096816370466484,0.7096816370466484,0.08
DirectLiNGAM,engagement,-->,support,-0.6577499132053422,0.6577499132053422,0.08
DirectLiNGAM,engagement,-->,renewal,0.5373822521092192,0.5373822521092192,0.08
DirectLiNGAM,support,-->,renewal,-0.3710573654285329,0.3710573654285329,0.08
DirectLiNGAM,need,-->,match,0.5347778143676387,0.5347778143676387,0.12
DirectLiNGAM,intent,-->,match,0.4095427847114872,0.4095427847114872,0.12
DirectLiNGAM,match,-->,engagement,0.7096816370466484,0.7096816370466484,0.12
DirectLiNGAM,engagement,-->,support,-0.6577499132053422,0.6577499132053422,0.12
DirectLiNGAM,engagement,-->,renewal,0.5373822521092192,0.5373822521092192,0.12
DirectLiNGAM,support,-->,renewal,-0.3710573654285329,0.3710573654285329,0.12
DirectLiNGAM,need,-->,match,0.5347778143676387,0.5347778143676387,0.16
DirectLiNGAM,intent,-->,match,0.4095427847114872,0.4095427847114872,0.16
DirectLiNGAM,match,-->,engagement,0.7096816370466484,0.7096816370466484,0.16
DirectLiNGAM,engagement,-->,support,-0.6577499132053422,0.6577499132053422,0.16
DirectLiNGAM,engagement,-->,renewal,0.5373822521092192,0.5373822521092192,0.16
DirectLiNGAM,support,-->,renewal,-0.3710573654285329,0.3710573654285329,0.16
DirectLiNGAM,need,-->,match,0.5347778143676387,0.5347778143676387,0.2
DirectLiNGAM,intent,-->,match,0.4095427847114872,0.4095427847114872,0.2
DirectLiNGAM,match,-->,engagement,0.7096816370466484,0.7096816370466484,0.2
DirectLiNGAM,engagement,-->,support,-0.6577499132053422,0.6577499132053422,0.2
DirectLiNGAM,engagement,-->,renewal,0.5373822521092192,0.5373822521092192,0.2
DirectLiNGAM,support,-->,renewal,-0.3710573654285329,0.3710573654285329,0.2
