run,source,edge_type,target,scenario,elapsed_seconds,coefficient,abs_coefficient,n_samples,seed
PC_FisherZ,need,-->,match,n_150_seed_0,0.01207199296914041,,,150,0
PC_FisherZ,intent,-->,match,n_150_seed_0,0.01207199296914041,,,150,0
PC_FisherZ,match,-->,engagement,n_150_seed_0,0.01207199296914041,,,150,0
PC_FisherZ,engagement,-->,support,n_150_seed_0,0.01207199296914041,,,150,0
PC_FisherZ,engagement,-->,renewal,n_150_seed_0,0.01207199296914041,,,150,0
PC_FisherZ,support,---,renewal,n_150_seed_0,0.01207199296914041,,,150,0
GES_BIC,need,-->,match,n_150_seed_0,0.013137793052010238,,,150,0
GES_BIC,intent,-->,match,n_150_seed_0,0.013137793052010238,,,150,0
GES_BIC,match,-->,engagement,n_150_seed_0,0.013137793052010238,,,150,0
GES_BIC,engagement,-->,support,n_150_seed_0,0.013137793052010238,,,150,0
GES_BIC,engagement,-->,renewal,n_150_seed_0,0.013137793052010238,,,150,0
GES_BIC,support,---,renewal,n_150_seed_0,0.013137793052010238,,,150,0
DirectLiNGAM,need,-->,match,n_150_seed_0,0.021268045995384455,0.6316910017729566,0.6316910017729566,150,0
DirectLiNGAM,intent,-->,match,n_150_seed_0,0.021268045995384455,0.38999772212282174,0.38999772212282174,150,0
DirectLiNGAM,match,-->,engagement,n_150_seed_0,0.021268045995384455,0.7051432357857406,0.7051432357857406,150,0
DirectLiNGAM,engagement,-->,support,n_150_seed_0,0.021268045995384455,-0.6685945402305689,0.6685945402305689,150,0
DirectLiNGAM,engagement,-->,renewal,n_150_seed_0,0.021268045995384455,0.4886535974704935,0.4886535974704935,150,0
DirectLiNGAM,support,-->,renewal,n_150_seed_0,0.021268045995384455,-0.36323554895322396,0.36323554895322396,150,0
PC_FisherZ,need,-->,match,n_150_seed_1,0.010266912984661758,,,150,1
PC_FisherZ,intent,-->,match,n_150_seed_1,0.010266912984661758,,,150,1
PC_FisherZ,match,-->,engagement,n_150_seed_1,0.010266912984661758,,,150,1
PC_FisherZ,engagement,-->,renewal,n_150_seed_1,0.010266912984661758,,,150,1
PC_FisherZ,renewal,-->,support,n_150_seed_1,0.010266912984661758,,,150,1
GES_BIC,need,-->,match,n_150_seed_1,0.013002609019167721,,,150,1
GES_BIC,intent,-->,match,n_150_seed_1,0.013002609019167721,,,150,1
GES_BIC,match,-->,engagement,n_150_seed_1,0.013002609019167721,,,150,1
GES_BIC,engagement,-->,support,n_150_seed_1,0.013002609019167721,,,150,1
GES_BIC,engagement,-->,renewal,n_150_seed_1,0.013002609019167721,,,150,1
GES_BIC,support,---,renewal,n_150_seed_1,0.013002609019167721,,,150,1
DirectLiNGAM,need,-->,match,n_150_seed_1,0.020661690970882773,0.507905548795816,0.507905548795816,150,1
DirectLiNGAM,intent,-->,match,n_150_seed_1,0.020661690970882773,0.434252661177203,0.434252661177203,150,1
DirectLiNGAM,match,-->,engagement,n_150_seed_1,0.020661690970882773,0.6992195093613213,0.6992195093613213,150,1
DirectLiNGAM,engagement,-->,support,n_150_seed_1,0.020661690970882773,-0.5794878642967773,0.5794878642967773,150,1
DirectLiNGAM,engagement,-->,renewal,n_150_seed_1,0.020661690970882773,0.5461575987037082,0.5461575987037082,150,1
DirectLiNGAM,support,-->,renewal,n_150_seed_1,0.020661690970882773,-0.31035012245680965,0.31035012245680965,150,1
PC_FisherZ,need,-->,match,n_150_seed_2,0.010911067947745323,,,150,2
PC_FisherZ,intent,-->,match,n_150_seed_2,0.010911067947745323,,,150,2
PC_FisherZ,match,-->,engagement,n_150_seed_2,0.010911067947745323,,,150,2
PC_FisherZ,engagement,-->,support,n_150_seed_2,0.010911067947745323,,,150,2
PC_FisherZ,engagement,-->,renewal,n_150_seed_2,0.010911067947745323,,,150,2
PC_FisherZ,support,---,renewal,n_150_seed_2,0.010911067947745323,,,150,2
GES_BIC,need,-->,match,n_150_seed_2,0.013056160998530686,,,150,2
GES_BIC,intent,-->,match,n_150_seed_2,0.013056160998530686,,,150,2
GES_BIC,match,-->,engagement,n_150_seed_2,0.013056160998530686,,,150,2
GES_BIC,engagement,-->,support,n_150_seed_2,0.013056160998530686,,,150,2
GES_BIC,engagement,-->,renewal,n_150_seed_2,0.013056160998530686,,,150,2
GES_BIC,support,---,renewal,n_150_seed_2,0.013056160998530686,,,150,2
DirectLiNGAM,need,-->,match,n_150_seed_2,0.02096523600630462,0.42158455360318203,0.42158455360318203,150,2
DirectLiNGAM,intent,-->,match,n_150_seed_2,0.02096523600630462,0.5204935104020041,0.5204935104020041,150,2
DirectLiNGAM,match,-->,engagement,n_150_seed_2,0.02096523600630462,0.7497279328988165,0.7497279328988165,150,2
DirectLiNGAM,engagement,-->,support,n_150_seed_2,0.02096523600630462,-0.7032809531965574,0.7032809531965574,150,2
DirectLiNGAM,engagement,-->,renewal,n_150_seed_2,0.02096523600630462,0.5404212445192407,0.5404212445192407,150,2
DirectLiNGAM,support,-->,renewal,n_150_seed_2,0.02096523600630462,-0.3264819533874415,0.3264819533874415,150,2
PC_FisherZ,need,-->,match,n_300_seed_0,0.007029040018096566,,,300,0
PC_FisherZ,intent,-->,match,n_300_seed_0,0.007029040018096566,,,300,0
PC_FisherZ,match,-->,engagement,n_300_seed_0,0.007029040018096566,,,300,0
PC_FisherZ,engagement,-->,support,n_300_seed_0,0.007029040018096566,,,300,0
PC_FisherZ,engagement,-->,renewal,n_300_seed_0,0.007029040018096566,,,300,0
PC_FisherZ,support,---,renewal,n_300_seed_0,0.007029040018096566,,,300,0
GES_BIC,need,-->,match,n_300_seed_0,0.012668987037613988,,,300,0
GES_BIC,intent,-->,match,n_300_seed_0,0.012668987037613988,,,300,0
GES_BIC,match,-->,engagement,n_300_seed_0,0.012668987037613988,,,300,0
