scenario,method,reported_edges,skeleton_precision,skeleton_recall,skeleton_f1,directed_precision,directed_recall,directed_f1,extra_adjacencies,missed_adjacencies,reversed_true_edges,extra_adjacency_list,missed_adjacency_list,elapsed_seconds,n_samples,seed
n_150_seed_0,PC_FisherZ,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.010278953704982996,150,0
n_150_seed_0,GES_BIC,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.0121927410364151,150,0
n_150_seed_0,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.019232342019677162,150,0
n_150_seed_1,PC_FisherZ,5,1.0,0.8333333333333334,0.9090909090909091,0.8,0.6666666666666666,0.7272727272727272,0,1,1,,engagement--support,0.008992617949843407,150,1
n_150_seed_1,GES_BIC,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.012152769137173891,150,1
n_150_seed_1,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.01863794308155775,150,1
n_150_seed_2,PC_FisherZ,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.009981625247746706,150,2
n_150_seed_2,GES_BIC,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.011170255951583385,150,2
n_150_seed_2,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.019007558934390545,150,2
n_300_seed_0,PC_FisherZ,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.006222838070243597,300,0
n_300_seed_0,GES_BIC,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.011847227811813354,300,0
n_300_seed_0,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.020302476827055216,300,0
n_300_seed_1,PC_FisherZ,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.007008875720202923,300,1
n_300_seed_1,GES_BIC,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.011989998165518045,300,1
n_300_seed_1,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.020166141912341118,300,1
n_300_seed_2,PC_FisherZ,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.006397190969437361,300,2
n_300_seed_2,GES_BIC,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.011826983653008938,300,2
n_300_seed_2,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.01940278708934784,300,2
n_600_seed_0,PC_FisherZ,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.0069282990880310535,600,0
n_600_seed_0,GES_BIC,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.010866991244256496,600,0
n_600_seed_0,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.021072471048682928,600,0
n_600_seed_1,PC_FisherZ,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.00778789259493351,600,1
n_600_seed_1,GES_BIC,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.014626726973801851,600,1
n_600_seed_1,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.022040341049432755,600,1
n_600_seed_2,PC_FisherZ,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.006778967101126909,600,2
n_600_seed_2,GES_BIC,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.012082566041499376,600,2
n_600_seed_2,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.023684152867645025,600,2
n_1000_seed_0,PC_FisherZ,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.006966909393668175,1000,0
n_1000_seed_0,GES_BIC,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.01653958484530449,1000,0
n_1000_seed_0,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.022312618792057037,1000,0
n_1000_seed_1,PC_FisherZ,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.007062547840178013,1000,1
n_1000_seed_1,GES_BIC,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.011232940945774317,1000,1
n_1000_seed_1,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.024729676079005003,1000,1
n_1000_seed_2,PC_FisherZ,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,0,0,0,,,0.006965294014662504,1000,2
n_1000_seed_2,GES_BIC,7,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,1.0,0.923076923076923,1,0,0,need--support,,0.013513699173927307,1000,2
n_1000_seed_2,DirectLiNGAM,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0.025036433711647987,1000,2
