method,n_samples,runs,mean_skeleton_f1,min_skeleton_f1,mean_directed_f1,min_directed_f1,mean_elapsed_seconds
DirectLiNGAM,150,3,1.0,1.0,1.0,1.0,0.018959281345208485
DirectLiNGAM,300,3,1.0,1.0,1.0,1.0,0.019957135276248057
DirectLiNGAM,600,3,1.0,1.0,1.0,1.0,0.022265654988586903
DirectLiNGAM,1000,3,1.0,1.0,1.0,1.0,0.02402624286090334
GES_BIC,150,3,1.0,1.0,0.9090909090909091,0.9090909090909091,0.011838588708390793
GES_BIC,300,3,1.0,1.0,0.9090909090909091,0.9090909090909091,0.011888069876780113
GES_BIC,600,3,1.0,1.0,0.9090909090909091,0.9090909090909091,0.012525428086519241
GES_BIC,1000,3,0.9743589743589743,0.923076923076923,0.9137529137529138,0.9090909090909091,0.013762074988335371
PC_FisherZ,150,3,0.9696969696969697,0.9090909090909091,0.8484848484848485,0.7272727272727272,0.009751065634191036
PC_FisherZ,300,3,1.0,1.0,0.9090909090909091,0.9090909090909091,0.006542968253294627
PC_FisherZ,600,3,1.0,1.0,0.9090909090909091,0.9090909090909091,0.007165052928030491
PC_FisherZ,1000,3,1.0,1.0,0.9090909090909091,0.9090909090909091,0.006998250416169564
