scenario,method,reported_edges,skeleton_precision,skeleton_recall,skeleton_f1,directed_precision,directed_recall,directed_f1,extra_adjacencies,missed_adjacencies,reversed_true_edges,missed_adjacency_list,extra_adjacency_list,bootstrap_id,elapsed_seconds
bootstrap_0,PC_tier_constrained,7,1.0,0.875,0.9333333333333333,1.0,0.875,0.9333333333333333,0,1,0,discovery_quality--retention_value,,0,0.014998375903815031
bootstrap_0,GES_BIC,8,1.0,1.0,1.0,1.0,0.875,0.9333333333333333,0,0,0,,,0,0.015427612699568272
bootstrap_0,DirectLiNGAM,8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,0,0.028633468318730593
bootstrap_1,PC_tier_constrained,7,0.8571428571428571,0.75,0.7999999999999999,0.8571428571428571,0.75,0.7999999999999999,1,2,0,discovery_quality--retention_value | early_engagement--onboarding_friction,onboarding_friction--retention_value,1,0.007883962243795395
bootstrap_1,GES_BIC,9,0.8888888888888888,1.0,0.9411764705882353,0.875,0.875,0.875,1,0,0,,early_engagement--support_contact,1,0.016254714224487543
bootstrap_1,DirectLiNGAM,8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,1,0.027949371840804815
bootstrap_2,PC_tier_constrained,8,0.875,0.875,0.875,0.875,0.875,0.875,1,1,0,discovery_quality--retention_value,onboarding_friction--retention_value,2,0.00897861598059535
bootstrap_2,GES_BIC,9,0.8888888888888888,1.0,0.9411764705882353,0.875,0.875,0.875,1,0,0,,onboarding_friction--retention_value,2,0.016548118088394403
bootstrap_2,DirectLiNGAM,8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,2,0.029248507227748632
bootstrap_3,PC_tier_constrained,8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,3,0.01040977705270052
bootstrap_3,GES_BIC,8,1.0,1.0,1.0,1.0,0.875,0.9333333333333333,0,0,0,,,3,0.015212291851639748
bootstrap_3,DirectLiNGAM,8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,3,0.029396172147244215
bootstrap_4,PC_tier_constrained,8,0.75,0.75,0.75,0.75,0.75,0.75,2,2,0,discovery_quality--retention_value | early_engagement--onboarding_friction,early_engagement--support_contact | onboarding_friction--retention_value,4,0.009033794049173594
bootstrap_4,GES_BIC,9,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888,1.0,0.9411764705882353,1,0,0,,early_engagement--support_contact,4,0.016348757781088352
bootstrap_4,DirectLiNGAM,8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,4,0.028869713190943003
bootstrap_5,PC_tier_constrained,8,0.875,0.875,0.875,0.875,0.875,0.875,1,1,0,discovery_quality--retention_value,onboarding_friction--retention_value,5,0.008315403945744038
bootstrap_5,GES_BIC,9,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888,1.0,0.9411764705882353,1,0,0,,early_engagement--support_contact,5,0.016382749658077955
