source,target,directed_support_count,adjacency_support_count,directed_support_methods,adjacency_support_methods,is_true_edge_in_synthetic_data
baseline_need,discovery_quality,3,3,"DirectLiNGAM, GES_BIC, PC_tier_constrained","DirectLiNGAM, GES_BIC, PC_tier_constrained",True
catalog_fit,discovery_quality,3,3,"DirectLiNGAM, GES_BIC, PC_tier_constrained","DirectLiNGAM, GES_BIC, PC_tier_constrained",True
discovery_quality,early_engagement,3,3,"DirectLiNGAM, GES_BIC, PC_tier_constrained","DirectLiNGAM, GES_BIC, PC_tier_constrained",True
early_engagement,retention_value,3,3,"DirectLiNGAM, GES_BIC, PC_tier_constrained","DirectLiNGAM, GES_BIC, PC_tier_constrained",True
support_contact,retention_value,3,3,"DirectLiNGAM, GES_BIC, PC_tier_constrained","DirectLiNGAM, GES_BIC, PC_tier_constrained",True
onboarding_friction,support_contact,2,3,"DirectLiNGAM, PC_tier_constrained","DirectLiNGAM, GES_BIC, PC_tier_constrained",True
discovery_quality,retention_value,2,2,"DirectLiNGAM, GES_BIC","DirectLiNGAM, GES_BIC",True
onboarding_friction,early_engagement,2,2,"DirectLiNGAM, GES_BIC","DirectLiNGAM, GES_BIC",True
onboarding_friction,retention_value,1,1,PC_tier_constrained,PC_tier_constrained,False
discovery_quality,baseline_need,0,3,,"DirectLiNGAM, GES_BIC, PC_tier_constrained",False
discovery_quality,catalog_fit,0,3,,"DirectLiNGAM, GES_BIC, PC_tier_constrained",False
early_engagement,discovery_quality,0,3,,"DirectLiNGAM, GES_BIC, PC_tier_constrained",False
retention_value,early_engagement,0,3,,"DirectLiNGAM, GES_BIC, PC_tier_constrained",False
retention_value,support_contact,0,3,,"DirectLiNGAM, GES_BIC, PC_tier_constrained",False
support_contact,onboarding_friction,0,3,,"DirectLiNGAM, GES_BIC, PC_tier_constrained",False
early_engagement,onboarding_friction,0,2,,"DirectLiNGAM, GES_BIC",False
retention_value,discovery_quality,0,2,,"DirectLiNGAM, GES_BIC",False
retention_value,onboarding_friction,0,1,,PC_tier_constrained,False
