source,target,overall_inclusion_rate,pc_rate,ges_rate,lingam_rate,methods_with_any_support,is_true_edge_in_synthetic_data
discovery_quality,early_engagement,1.0,1.0,1.0,1.0,3,True
early_engagement,retention_value,1.0,1.0,1.0,1.0,3,True
support_contact,retention_value,1.0,1.0,1.0,1.0,3,True
baseline_need,discovery_quality,0.9833333333333333,1.0,0.95,1.0,3,True
catalog_fit,discovery_quality,0.9833333333333333,1.0,0.95,1.0,3,True
onboarding_friction,early_engagement,0.8666666666666667,0.6,1.0,1.0,3,True
discovery_quality,retention_value,0.75,0.25,1.0,1.0,3,True
onboarding_friction,support_contact,0.75,1.0,0.25,1.0,3,True
onboarding_friction,retention_value,0.2,0.55,0.05,0.0,2,False
early_engagement,support_contact,0.1,0.1,0.2,0.0,2,False
support_contact,catalog_fit,0.03333333333333333,0.0,0.05,0.05,2,False
baseline_need,early_engagement,0.016666666666666666,0.0,0.05,0.0,1,False
baseline_need,support_contact,0.016666666666666666,0.0,0.05,0.0,1,False
catalog_fit,baseline_need,0.016666666666666666,0.0,0.05,0.0,1,False
catalog_fit,support_contact,0.016666666666666666,0.0,0.05,0.0,1,False
discovery_quality,baseline_need,0.016666666666666666,0.0,0.05,0.0,1,False
discovery_quality,catalog_fit,0.016666666666666666,0.0,0.05,0.0,1,False
support_contact,early_engagement,0.016666666666666666,0.0,0.05,0.0,1,False
