reported_edges,skeleton_precision,skeleton_recall,directed_precision,directed_recall,noise_proxy_connected,n_samples,alpha,replicate,elapsed_seconds
2,1.0,0.6666666666666666,,0.0,False,150,0.005,0,0.005890746018849313
0,,0.0,,0.0,False,150,0.005,1,0.0036514449166134
0,,0.0,,0.0,False,150,0.005,2,0.0033603119663894176
1,1.0,0.3333333333333333,,0.0,False,150,0.005,3,0.003373054089024663
1,1.0,0.3333333333333333,,0.0,False,150,0.005,4,0.0037755920784547925
1,1.0,0.3333333333333333,,0.0,False,150,0.005,5,0.003832985064946115
2,1.0,0.6666666666666666,,0.0,False,150,0.01,0,0.0037777730030938983
1,1.0,0.3333333333333333,,0.0,False,150,0.01,1,0.003521418897435069
1,1.0,0.3333333333333333,,0.0,False,150,0.01,2,0.003224755055271089
3,1.0,1.0,,0.0,False,150,0.01,3,0.00360664795152843
2,1.0,0.6666666666666666,1.0,0.6666666666666666,False,150,0.01,4,0.003743634093552828
1,1.0,0.3333333333333333,,0.0,False,150,0.01,5,0.0038532480830326676
2,1.0,0.6666666666666666,,0.0,False,150,0.05,0,0.0038752780528739095
2,1.0,0.6666666666666666,1.0,0.6666666666666666,False,150,0.05,1,0.0034175970358774066
1,1.0,0.3333333333333333,,0.0,False,150,0.05,2,0.0035681319423019886
3,1.0,1.0,,0.0,False,150,0.05,3,0.003849425003863871
2,1.0,0.6666666666666666,1.0,0.6666666666666666,False,150,0.05,4,0.0037560100900009274
3,1.0,1.0,,0.0,False,150,0.05,5,0.0036150349769741297
3,1.0,1.0,,0.0,False,150,0.1,0,0.0037845709593966603
2,1.0,0.6666666666666666,1.0,0.6666666666666666,False,150,0.1,1,0.0037319179391488433
2,1.0,0.6666666666666666,,0.0,False,150,0.1,2,0.003986060037277639
3,1.0,1.0,,0.0,False,150,0.1,3,0.0038773269625380635
2,1.0,0.6666666666666666,1.0,0.6666666666666666,False,150,0.1,4,0.0035858770133927464
3,1.0,1.0,,0.0,False,150,0.1,5,0.0038465639809146523
2,1.0,0.6666666666666666,,0.0,False,300,0.005,0,0.0018182490020990372
2,1.0,0.6666666666666666,,0.0,False,300,0.005,1,0.0017023540567606688
2,1.0,0.6666666666666666,,0.0,False,300,0.005,2,0.0018157559679821134
2,1.0,0.6666666666666666,,0.0,False,300,0.005,3,0.0018204309744760394
3,1.0,1.0,,0.0,False,300,0.005,4,0.0017213900573551655
1,1.0,0.3333333333333333,,0.0,False,300,0.005,5,0.0019055870361626148
2,1.0,0.6666666666666666,,0.0,False,300,0.01,0,0.0019272530917078257
2,1.0,0.6666666666666666,,0.0,False,300,0.01,1,0.0017738699680194259
2,1.0,0.6666666666666666,,0.0,False,300,0.01,2,0.0017773229628801346
2,1.0,0.6666666666666666,,0.0,False,300,0.01,3,0.0018468369962647557
3,1.0,1.0,,0.0,False,300,0.01,4,0.0018401560373604298
2,1.0,0.6666666666666666,,0.0,False,300,0.01,5,0.0018096650019288063
3,1.0,1.0,,0.0,False,300,0.05,0,0.0018094839761033654
3,1.0,1.0,,0.0,False,300,0.05,1,0.0018833039794117212
3,1.0,1.0,,0.0,False,300,0.05,2,0.0016894659493118525
2,1.0,0.6666666666666666,,0.0,False,300,0.05,3,0.0018369130557402968
3,1.0,1.0,,0.0,False,300,0.05,4,0.0018057689303532243
4,0.75,1.0,0.3333333333333333,0.3333333333333333,True,300,0.05,5,0.002410326967947185
3,1.0,1.0,,0.0,False,300,0.1,0,0.001817677984945476
3,1.0,1.0,,0.0,False,300,0.1,1,0.0018269909778609872
3,1.0,1.0,,0.0,False,300,0.1,2,0.0019130599685013294
2,1.0,0.6666666666666666,,0.0,False,300,0.1,3,0.001678231987170875
3,1.0,1.0,,0.0,False,300,0.1,4,0.0017423669341951609
5,0.6,1.0,0.5,0.6666666666666666,True,300,0.1,5,0.002855157945305109
3,1.0,1.0,,0.0,False,900,0.005,0,0.0017751270206645131
3,1.0,1.0,,0.0,False,900,0.005,1,0.0018308740109205246
3,1.0,1.0,,0.0,False,900,0.005,2,0.0018284990219399333
3,1.0,1.0,,0.0,False,900,0.005,3,0.001694925012998283
3,1.0,1.0,,0.0,False,900,0.005,4,0.0018207989633083344
3,1.0,1.0,,0.0,False,900,0.005,5,0.0018478689016774297
3,1.0,1.0,,0.0,False,900,0.01,0,0.0017677460564300418
3,1.0,1.0,,0.0,False,900,0.01,1,0.0017783869989216328
3,1.0,1.0,,0.0,False,900,0.01,2,0.0018255739705637097
3,1.0,1.0,,0.0,False,900,0.01,3,0.0018132260302081704
3,1.0,1.0,,0.0,False,900,0.01,4,0.0017221779562532902
3,1.0,1.0,,0.0,False,900,0.01,5,0.0019545379327610135
3,1.0,1.0,,0.0,False,900,0.05,0,0.0018284129910171032
3,1.0,1.0,,0.0,False,900,0.05,1,0.0018349989550188184
3,1.0,1.0,,0.0,False,900,0.05,2,0.001707963994704187
4,0.75,1.0,0.0,0.0,True,900,0.05,3,0.0025773009983822703
3,1.0,1.0,,0.0,False,900,0.05,4,0.0018153670243918896
3,1.0,1.0,,0.0,False,900,0.05,5,0.0017450939631089568
3,1.0,1.0,,0.0,False,900,0.1,0,0.0018052649684250355
3,1.0,1.0,,0.0,False,900,0.1,1,0.0018081149319186807
4,0.75,1.0,0.0,0.0,True,900,0.1,2,0.0024810980539768934
4,0.75,1.0,0.0,0.0,True,900,0.1,3,0.002544951974414289
3,1.0,1.0,,0.0,False,900,0.1,4,0.0018465690081939101
3,1.0,1.0,,0.0,False,900,0.1,5,0.0018466910114511847
