class_name,available,signature
DoubleMLData,True,"(data, y_col, d_cols, x_cols=None, z_cols=None, cluster_cols=None, use_other_treat_as_covariate=True, force_all_x_finite=True, force_all_d_finite=True)"
DoubleMLClusterData,True,"(data, y_col, d_cols, cluster_cols, x_cols=None, z_cols=None, t_col=None, s_col=None, use_other_treat_as_covariate=True, force_all_x_finite=True)"
DoubleMLPanelData,True,"(data, y_col, d_cols, t_col, id_col, x_cols=None, z_cols=None, static_panel=False, use_other_treat_as_covariate=True, force_all_x_finite=True, datetime_unit='M')"
DoubleMLDIDData,True,"(data, y_col, d_cols, x_cols=None, z_cols=None, t_col=None, cluster_cols=None, use_other_treat_as_covariate=True, force_all_x_finite=True, force_all_d_finite=True)"
DoubleMLRDDData,True,"(data, y_col, d_cols, score_col, x_cols=None, z_cols=None, cluster_cols=None, use_other_treat_as_covariate=True, force_all_x_finite=True, force_all_d_finite=True)"
DoubleMLSSMData,True,"(data, y_col, d_cols, x_cols=None, z_cols=None, s_col=None, cluster_cols=None, use_other_treat_as_covariate=True, force_all_x_finite=True, force_all_d_finite=True)"
DoubleMLPLR,True,"(obj_dml_data, ml_l, ml_m, ml_g=None, n_folds=5, n_rep=1, score='partialling out', draw_sample_splitting=True)"
DoubleMLPLIV,True,"(obj_dml_data, ml_l, ml_m, ml_r, ml_g=None, n_folds=5, n_rep=1, score='partialling out', draw_sample_splitting=True)"
DoubleMLIRM,True,"(obj_dml_data, ml_g, ml_m, n_folds=5, n_rep=1, score='ATE', weights=None, normalize_ipw=False, trimming_rule='truncate', trimming_threshold=0.01, ps_processor_config: Optional[doubleml.utils.propensity_score_processing.PSProcessorConfig] = None, draw_sample_splitting=True)"
DoubleMLIIVM,True,"(obj_dml_data, ml_g, ml_m, ml_r, n_folds=5, n_rep=1, score='LATE', subgroups=None, normalize_ipw=False, trimming_rule='truncate', trimming_threshold=0.01, ps_processor_config: Optional[doubleml.utils.propensity_score_processing.PSProcessorConfig] = None, draw_sample_splitting=True)"
DoubleMLDID,True,"(obj_dml_data, ml_g, ml_m=None, n_folds=5, n_rep=1, score='observational', in_sample_normalization=True, clipping_threshold=0.01, draw_sample_splitting=True)"
DoubleMLDIDCS,True,"(obj_dml_data, ml_g, ml_m=None, n_folds=5, n_rep=1, score='observational', in_sample_normalization=True, clipping_threshold=0.01, draw_sample_splitting=True)"
DoubleMLSSM,True,"(obj_dml_data, ml_g, ml_pi, ml_m, n_folds=5, n_rep=1, score='missing-at-random', normalize_ipw=False, trimming_rule='truncate', trimming_threshold=0.01, ps_processor_config: Optional[doubleml.utils.propensity_score_processing.PSProcessorConfig] = None, draw_sample_splitting=True)"
DoubleMLAPO,True,"(obj_dml_data, ml_g, ml_m, treatment_level, n_folds=5, n_rep=1, score='APO', weights=None, normalize_ipw=False, trimming_rule='truncate', trimming_threshold=0.01, ps_processor_config: Optional[doubleml.utils.propensity_score_processing.PSProcessorConfig] = None, draw_sample_splitting=True)"
DoubleMLAPOS,True,"(obj_dml_data, ml_g, ml_m, treatment_levels, n_folds=5, n_rep=1, score='APO', weights=None, normalize_ipw=False, trimming_rule='truncate', trimming_threshold=0.01, ps_processor_config: Optional[doubleml.utils.propensity_score_processing.PSProcessorConfig] = None, draw_sample_splitting=True)"
DoubleMLQTE,True,"(obj_dml_data, ml_g, ml_m=None, quantiles=0.5, n_folds=5, n_rep=1, score='PQ', normalize_ipw=True, kde=None, trimming_rule='truncate', trimming_threshold=0.01, ps_processor_config: Optional[doubleml.utils.propensity_score_processing.PSProcessorConfig] = None, draw_sample_splitting=True)"
DoubleMLCVAR,True,"(obj_dml_data, ml_g, ml_m, treatment=1, quantile=0.5, n_folds=5, n_rep=1, score='CVaR', normalize_ipw=True, trimming_rule='truncate', trimming_threshold=0.01, ps_processor_config: Optional[doubleml.utils.propensity_score_processing.PSProcessorConfig] = None, draw_sample_splitting=True)"
DoubleMLBLP,True,"(orth_signal, basis, is_gate=False)"
DoubleMLPolicyTree,True,"(orth_signal, features, depth=2, **tree_params)"
