artifact_type,path,size_kb
datasets,datasets/02_master_backend_teaching_data.csv,170.28
datasets,datasets/02_panel_teaching_data.csv,58.72
figures,figures/02_backend_role_counts.png,85.55
figures,figures/02_design_correlation_matrix.png,255.06
figures,figures/02_rdd_running_score_distribution.png,40.92
reports,reports/02_backend_design_report_template.md,1.07
tables,tables/02_backend_construction_checklist.csv,1.01
tables,tables/02_backend_role_counts.csv,1.09
tables,tables/02_backend_summary_initial.csv,0.36
tables,tables/02_backend_summary_table.csv,1.65
tables,tables/02_binary_treatment_audit.csv,0.11
tables,tables/02_binary_treatment_variation_audit.csv,0.3
tables,tables/02_cluster_audit.csv,0.05
tables,tables/02_container_signatures.csv,1.59
tables,tables/02_design_correlation_matrix.csv,2.54
tables,tables/02_design_readiness_matrix.csv,0.79
tables,tables/02_iv_strength_screen.csv,0.13
tables,tables/02_master_data_audit.csv,1.53
tables,tables/02_mechanical_control_audit.csv,0.78
tables,tables/02_missing_value_constructor_check.csv,0.09
tables,tables/02_multi_treatment_policy.csv,0.32
tables,tables/02_overlapping_role_problem.csv,0.1
tables,tables/02_package_versions.csv,0.11
tables,tables/02_panel_audit.csv,0.09
tables,tables/02_post_treatment_control_check.csv,0.35
tables,tables/02_rdd_audit.csv,0.17
tables,tables/02_role_glossary.csv,1.32
tables,tables/02_selection_audit.csv,0.1
tables,tables/02_variable_dictionary.csv,1.24
