backend_name,role,count
standard_plr_continuous_treatment,treatments,1
standard_plr_continuous_treatment,controls,5
standard_plr_continuous_treatment,instruments,0
standard_plr_continuous_treatment,clusters,0
standard_irm_binary_treatment,treatments,1
standard_irm_binary_treatment,controls,5
standard_irm_binary_treatment,instruments,0
standard_irm_binary_treatment,clusters,0
iv_pliv_continuous_treatment,treatments,1
iv_pliv_continuous_treatment,controls,5
iv_pliv_continuous_treatment,instruments,1
iv_pliv_continuous_treatment,clusters,0
multi_treatment,treatments,2
multi_treatment,controls,5
multi_treatment,instruments,0
multi_treatment,clusters,0
clustered_plr,treatments,1
clustered_plr,controls,5
clustered_plr,instruments,0
clustered_plr,clusters,1
panel_long_format,treatments,1
panel_long_format,controls,2
panel_long_format,instruments,0
panel_long_format,clusters,0
rdd_running_score,treatments,1
rdd_running_score,controls,5
rdd_running_score,instruments,0
rdd_running_score,clusters,0
sample_selection,treatments,1
sample_selection,controls,5
sample_selection,instruments,0
sample_selection,clusters,0
