,y_outcome,d_continuous,d_binary,d_secondary,z_encouragement,x_prior_activity,x_account_age,x_region_score,x_risk_score,x_binary_segment,post_treatment_engagement
y_outcome,1.0,0.8531568053403357,0.12314015391683983,0.3404931227669246,0.3295648885696999,0.6504873160408939,0.010473657528543982,-0.07583299323096702,-0.3702997015024883,0.08856394883224235,0.8614924463405037
d_continuous,0.8531568053403357,1.0,0.09631396440407898,0.40002846237982803,0.39713737776254765,0.5416403000815017,-0.06553324562742745,-0.07665989845482954,-0.2361267555087872,0.07349867908619433,0.8517556056827407
d_binary,0.12314015391683983,0.09631396440407898,1.0,-0.0013728279698948683,0.0666944946591992,0.26894299099482216,-0.043261856402014784,-0.013025379487138755,0.13110533837062976,0.04498048298025154,0.105246251143606
d_secondary,0.3404931227669246,0.40002846237982803,-0.0013728279698948683,1.0,0.17547091628792152,0.21823579498637355,-0.027391132937033987,0.34579638181604516,-0.0904768299120711,0.023889241618369698,0.3256251551039192
z_encouragement,0.3295648885696999,0.39713737776254765,0.0666944946591992,0.17547091628792152,1.0,0.2527309477238341,0.02275381880931543,-0.0127368307359391,0.008100151849968014,-0.08601658978705373,0.3527769582735853
x_prior_activity,0.6504873160408939,0.5416403000815017,0.26894299099482216,0.21823579498637355,0.2527309477238341,1.0,-0.04340730873514878,-0.051036460968561424,0.020265324148233038,0.029091058762710086,0.5603708679467584
x_account_age,0.010473657528543982,-0.06553324562742745,-0.043261856402014784,-0.027391132937033987,0.02275381880931543,-0.04340730873514878,1.0,-0.010673589854784974,-0.026070722248234222,0.01299983019897655,-0.020621450287744602
x_region_score,-0.07583299323096702,-0.07665989845482954,-0.013025379487138755,0.34579638181604516,-0.0127368307359391,-0.051036460968561424,-0.010673589854784974,1.0,0.005964637381085931,-0.0366026653527713,-0.08625263233349442
x_risk_score,-0.3702997015024883,-0.2361267555087872,0.13110533837062976,-0.0904768299120711,0.008100151849968014,0.020265324148233038,-0.026070722248234222,0.005964637381085931,1.0,0.042357913119375847,-0.2809627440987866
x_binary_segment,0.08856394883224235,0.07349867908619433,0.04498048298025154,0.023889241618369698,-0.08601658978705373,0.029091058762710086,0.01299983019897655,-0.0366026653527713,0.042357913119375847,1.0,0.06377440983009322
post_treatment_engagement,0.8614924463405037,0.8517556056827407,0.105246251143606,0.3256251551039192,0.3527769582735853,0.5603708679467584,-0.020621450287744602,-0.08625263233349442,-0.2809627440987866,0.06377440983009322,1.0
