column,dtype,missing_rate,n_unique,mean,std,min,max
user_id,int64,0.0,900,449.5,259.95191863111916,0.0,899.0
cluster_id,int64,0.0,30,14.644444444444444,8.75410103940054,0.0,29.0
time_period,int64,0.0,4,1.5044444444444445,1.1056444434796184,0.0,3.0
y_outcome,float64,0.0,900,0.8741053738479874,2.58195827550169,-10.68202640989626,9.21679603296825
d_continuous,float64,0.0,900,0.43408092005914506,1.3447883091588544,-4.943785452576932,3.9625962579774177
d_binary,int64,0.0,2,0.43444444444444447,0.4959594495047793,0.0,1.0
d_secondary,float64,0.0,900,0.1892419700713308,1.1771145186352183,-3.8016826091846316,4.49162319397911
z_encouragement,int64,0.0,2,0.4633333333333333,0.4989310040775286,0.0,1.0
x_prior_activity,float64,0.0,900,-0.051402465845412394,1.0161570889794176,-3.6484128252147836,2.9142446484154196
x_account_age,float64,0.0,900,0.5010166662765967,0.28854965756153683,0.0005681292589444498,0.9997653369143439
x_region_score,float64,0.0,900,0.021095179253955917,0.9807419798285586,-2.861518370100673,3.0885121948602836
x_risk_score,float64,0.0,900,-0.011777454795977735,0.9944447007214717,-2.6251466840968023,3.4540464022441815
x_binary_segment,int64,0.0,2,0.4222222222222222,0.4941881979914011,0.0,1.0
post_treatment_engagement,float64,0.0,900,0.6464935241068295,2.156370987773228,-7.466117128016746,6.90890974482701
running_score,float64,0.0,900,-0.014647888224386021,1.0115975027868136,-3.1194749238680104,3.1989419097831964
d_rdd,int64,0.0,2,0.49666666666666665,0.500266892061175,0.0,1.0
selected,int64,0.0,2,0.4577777777777778,0.49849111096863585,0.0,1.0
