column,role_family,allowed_as_standard_control,description
user_id,identifier,False,Unique unit identifier.
cluster_id,cluster,False,Cluster/group identifier for dependence.
time_period,time,False,Discrete time period for panel-style data.
y_outcome,outcome,False,Outcome variable.
d_continuous,continuous treatment,False,Continuous treatment for PLR-style designs.
d_binary,binary treatment,False,Binary treatment for IRM-style designs.
d_secondary,secondary treatment,False,Additional treatment for multi-treatment examples.
z_encouragement,instrument,False,Synthetic encouragement instrument.
x_prior_activity,pre-treatment control,True,Baseline activity control.
x_account_age,pre-treatment control,True,Baseline account-age control.
x_region_score,pre-treatment control,True,Regional/context control.
x_risk_score,pre-treatment control,True,Baseline risk control.
x_binary_segment,pre-treatment control,True,Binary segment control.
post_treatment_engagement,post-treatment variable,False,Generated after treatment; unsafe as a standard control.
running_score,RDD running score,False,Assignment score for RDD examples.
d_rdd,RDD treatment,False,Treatment induced by running-score cutoff.
selected,selection indicator,False,Whether the row is selected/outcome observed.
