artifact_type,file_name,relative_path
dataset,04_synthetic_pliv_data.csv,notebooks/tutorials/doubleml/outputs/datasets/04_synthetic_pliv_data.csv
table,04_all_estimator_comparison.csv,notebooks/tutorials/doubleml/outputs/tables/04_all_estimator_comparison.csv
table,04_artifact_manifest.csv,notebooks/tutorials/doubleml/outputs/tables/04_artifact_manifest.csv
table,04_baseline_estimates.csv,notebooks/tutorials/doubleml/outputs/tables/04_baseline_estimates.csv
table,04_data_audit.csv,notebooks/tutorials/doubleml/outputs/tables/04_data_audit.csv
table,04_design_correlation_matrix.csv,notebooks/tutorials/doubleml/outputs/tables/04_design_correlation_matrix.csv
table,04_dml_residual_summary.csv,notebooks/tutorials/doubleml/outputs/tables/04_dml_residual_summary.csv
table,04_dml_residualized_first_stage.csv,notebooks/tutorials/doubleml/outputs/tables/04_dml_residualized_first_stage.csv
table,04_doubleml_nuisance_losses.csv,notebooks/tutorials/doubleml/outputs/tables/04_doubleml_nuisance_losses.csv
table,04_doubleml_pliv_summary.csv,notebooks/tutorials/doubleml/outputs/tables/04_doubleml_pliv_summary.csv
table,04_doublemldata_backend_summary.csv,notebooks/tutorials/doubleml/outputs/tables/04_doublemldata_backend_summary.csv
table,04_exclusion_violation_stress_test.csv,notebooks/tutorials/doubleml/outputs/tables/04_exclusion_violation_stress_test.csv
table,04_field_dictionary.csv,notebooks/tutorials/doubleml/outputs/tables/04_field_dictionary.csv
table,04_first_stage_relevance_screen.csv,notebooks/tutorials/doubleml/outputs/tables/04_first_stage_relevance_screen.csv
table,04_hgb_bootstrap_confidence_interval.csv,notebooks/tutorials/doubleml/outputs/tables/04_hgb_bootstrap_confidence_interval.csv
table,04_hgb_nuisance_quality_against_truth.csv,notebooks/tutorials/doubleml/outputs/tables/04_hgb_nuisance_quality_against_truth.csv
table,04_key_correlation_matrix.csv,notebooks/tutorials/doubleml/outputs/tables/04_key_correlation_matrix.csv
table,04_learner_catalog.csv,notebooks/tutorials/doubleml/outputs/tables/04_learner_catalog.csv
table,04_manual_crossfit_pliv_estimate.csv,notebooks/tutorials/doubleml/outputs/tables/04_manual_crossfit_pliv_estimate.csv
table,04_manual_nuisance_quality.csv,notebooks/tutorials/doubleml/outputs/tables/04_manual_nuisance_quality.csv
table,04_orthogonal_score_summary.csv,notebooks/tutorials/doubleml/outputs/tables/04_orthogonal_score_summary.csv
table,04_package_versions.csv,notebooks/tutorials/doubleml/outputs/tables/04_package_versions.csv
table,04_pliv_reporting_checklist.csv,notebooks/tutorials/doubleml/outputs/tables/04_pliv_reporting_checklist.csv
table,04_repeated_sample_split_stability.csv,notebooks/tutorials/doubleml/outputs/tables/04_repeated_sample_split_stability.csv
table,04_score_variant_summary.csv,notebooks/tutorials/doubleml/outputs/tables/04_score_variant_summary.csv
table,04_weak_instrument_stress_test.csv,notebooks/tutorials/doubleml/outputs/tables/04_weak_instrument_stress_test.csv
figure,04_baseline_estimates.png,notebooks/tutorials/doubleml/outputs/figures/04_baseline_estimates.png
figure,04_design_correlation_matrix.png,notebooks/tutorials/doubleml/outputs/figures/04_design_correlation_matrix.png
figure,04_endogeneity_and_relevance.png,notebooks/tutorials/doubleml/outputs/figures/04_endogeneity_and_relevance.png
figure,04_exclusion_violation_stress_test.png,notebooks/tutorials/doubleml/outputs/figures/04_exclusion_violation_stress_test.png
figure,04_manual_residual_iv_relationships.png,notebooks/tutorials/doubleml/outputs/figures/04_manual_residual_iv_relationships.png
figure,04_nuisance_prediction_quality.png,notebooks/tutorials/doubleml/outputs/figures/04_nuisance_prediction_quality.png
figure,04_orthogonal_score_distribution.png,notebooks/tutorials/doubleml/outputs/figures/04_orthogonal_score_distribution.png
figure,04_pliv_design_dag.png,notebooks/tutorials/doubleml/outputs/figures/04_pliv_design_dag.png
figure,04_pliv_estimate_comparison.png,notebooks/tutorials/doubleml/outputs/figures/04_pliv_estimate_comparison.png
figure,04_repeated_split_stability.png,notebooks/tutorials/doubleml/outputs/figures/04_repeated_split_stability.png
figure,04_residual_distributions.png,notebooks/tutorials/doubleml/outputs/figures/04_residual_distributions.png
figure,04_residualized_first_stage.png,notebooks/tutorials/doubleml/outputs/figures/04_residualized_first_stage.png
figure,04_weak_instrument_stress_test.png,notebooks/tutorials/doubleml/outputs/figures/04_weak_instrument_stress_test.png
report,04_pliv_report_template.md,notebooks/tutorials/doubleml/outputs/reports/04_pliv_report_template.md
