estimator,target,theta_hat,std_error,ci_95_lower,ci_95_upper,p_value,true_target,bias_vs_target,abs_bias_vs_target
Difference in means,unadjusted mean difference,1.5950030666261492,0.04855920247194109,1.4998270297811447,1.6901791034711537,,0.996434846104768,0.5985682205213813,0.5985682205213813
OLS with raw controls,raw regression slope,1.0458540337954763,0.04613599002665016,0.9554291549521428,1.1362789126388098,9.075104551287294e-114,0.996434846104768,0.0494191876907083,0.0494191876907083
Oracle regression adjustment,ATE,0.996434846104768,0.005998732870019125,0.9846773296795305,1.0081923625300055,,0.996434846104768,0.0,0.0
Oracle AIPW,ATE,0.9454106701493945,0.037035707967278605,0.8728206825335284,1.0180006577652605,,0.996434846104768,-0.05102417595537345,0.05102417595537345
Oracle ATT-style AIPW,ATT-style,1.1193261533863543,0.045364669153286595,1.0304114018459125,1.2082409049267961,,1.1329782576729157,-0.013652104286561384,0.013652104286561384
Manual cross-fitted IPW,ATE,1.0393546646693648,0.08789764637762619,0.8670752777692174,1.211634051569512,,0.996434846104768,0.04291981856459681,0.04291981856459681
Manual cross-fitted AIPW,ATE,0.9615244934722615,0.05273563037112089,0.8581626579448646,1.0648863289996584,,0.996434846104768,-0.034910352632506414,0.034910352632506414
Manual cross-fitted ATT-style AIPW,ATT-style,1.1161281951209925,0.06451793200331056,0.9896730483945038,1.2425833418474812,,1.1329782576729157,-0.01685006255192323,0.01685006255192323
Linear nuisance IRM ATE,ATE,1.0279676893085223,0.05642828840231708,0.9173702763307416,1.138565102286303,3.766793981939934e-74,0.996434846104768,0.03153284320375438,0.03153284320375438
Linear nuisance IRM ATTE,ATT-style,1.16232042177657,0.057913694591667654,1.0488116661652491,1.2758291773878907,1.3535342757515358e-89,1.1329782576729157,0.0293421641036542,0.0293421641036542
Gradient boosting nuisance IRM ATE,ATE,0.9852720059290626,0.053887547313471666,0.87965435397946,1.0908896578786653,1.1127934422456025e-74,0.996434846104768,-0.011162840175705346,0.011162840175705346
Gradient boosting nuisance IRM ATTE,ATT-style,1.0482659910374428,0.06987803797460575,0.9113075532968933,1.1852244287779923,7.19242054898314e-51,1.1329782576729157,-0.08471226663547293,0.08471226663547293
