column,weekly_value,feature_exposure,true_propensity,true_tau,true_mu0,true_mu1,engagement_score,need_intensity,content_fit,recent_activity,price_sensitivity,tenure_signal,novelty_appetite,seasonality_signal
weekly_value,1.0,0.4639381351009308,0.5178908815570208,0.40037285224991875,0.7451084698489572,0.7684404492515944,0.3822438758748624,0.16734632635324578,0.006203333258914075,-0.009053125935804276,-0.3574024596385346,0.020202069444857213,0.02511862997408733,-0.03416119634096473
feature_exposure,0.4639381351009308,1.0,0.41542785543525035,0.3317125043875138,0.21632092255085636,0.2882032802427596,0.2552709838601276,0.21619106156322668,0.05601927760151034,-0.034023975860959774,-0.20656074172914085,-0.020500492503579354,0.023796983344712443,-0.06830024345342266
true_propensity,0.5178908815570208,0.41542785543525035,1.0,0.7391375296039521,0.47459910430564556,0.6357428267622561,0.6358985225448774,0.4644097334632415,0.16317571541890985,-0.03389340327587697,-0.472769145053249,-0.02060355674360635,0.0027845610062619363,-0.2182898137430007
true_tau,0.40037285224991875,0.3317125043875138,0.7391375296039521,1.0,0.2925414096615634,0.5563663046203049,0.1973449210725629,0.8051458767218511,-0.033041267908007085,-0.01798646126098009,-0.5275964495568992,-0.010250665288159067,0.18170380771014055,-0.015157812945152315
true_mu0,0.7451084698489572,0.21632092255085636,0.47459910430564556,0.2925414096615634,1.0,0.9573461984612798,0.43606666235934805,-0.004612541512769447,-0.02238172552794771,-0.005649588510523641,-0.40252259993531375,0.003426082267605063,-0.0018361516129749428,-0.006029135888599199
true_mu1,0.7684404492515944,0.2882032802427596,0.6357428267622561,0.5563663046203049,0.9573461984612798,1.0,0.43855083467937606,0.23927647274160926,-0.029432447025330197,-0.010344043574567117,-0.5091921649215247,-0.00012026369420032889,0.05330847278349908,-0.009819141517682272
engagement_score,0.3822438758748624,0.2552709838601276,0.6358985225448774,0.1973449210725629,0.43606666235934805,0.43855083467937606,1.0,0.015932262567867464,-0.026485985469188456,-0.028503810013646602,0.0024509057697386957,-0.006968175154435385,-0.006801594316054475,-0.005100779223612677
need_intensity,0.16734632635324578,0.21619106156322668,0.4644097334632415,0.8051458767218511,-0.004612541512769447,0.23927647274160926,0.015932262567867464,1.0,-0.011362942491962952,0.0021888016657056284,-0.0008021152157024411,-0.026695071393312106,0.014646457031553518,-0.013416475951221024
content_fit,0.006203333258914075,0.05601927760151034,0.16317571541890985,-0.033041267908007085,-0.02238172552794771,-0.029432447025330197,-0.026485985469188456,-0.011362942491962952,1.0,0.012665066634477083,0.02841275049253551,-0.021370504784608405,-0.004370946437346563,0.013688759162381343
recent_activity,-0.009053125935804276,-0.034023975860959774,-0.03389340327587697,-0.01798646126098009,-0.005649588510523641,-0.010344043574567117,-0.028503810013646602,0.0021888016657056284,0.012665066634477083,1.0,0.03575583162245689,-0.002928794160380234,0.023761308010447103,-0.013414622018418185
price_sensitivity,-0.3574024596385346,-0.20656074172914085,-0.472769145053249,-0.5275964495568992,-0.40252259993531375,-0.5091921649215247,0.0024509057697386957,-0.0008021152157024411,0.02841275049253551,0.03575583162245689,1.0,-0.02245957394038554,-0.02462974126343431,0.0104752321078451
tenure_signal,0.020202069444857213,-0.020500492503579354,-0.02060355674360635,-0.010250665288159067,0.003426082267605063,-0.00012026369420032889,-0.006968175154435385,-0.026695071393312106,-0.021370504784608405,-0.002928794160380234,-0.02245957394038554,1.0,0.003188245396533713,0.012113009673967353
novelty_appetite,0.02511862997408733,0.023796983344712443,0.0027845610062619363,0.18170380771014055,-0.0018361516129749428,0.05330847278349908,-0.006801594316054475,0.014646457031553518,-0.004370946437346563,0.023761308010447103,-0.02462974126343431,0.003188245396533713,1.0,0.016065236051040564
seasonality_signal,-0.03416119634096473,-0.06830024345342266,-0.2182898137430007,-0.015157812945152315,-0.006029135888599199,-0.009819141517682272,-0.005100779223612677,-0.013416475951221024,0.013688759162381343,-0.013414622018418185,0.0104752321078451,0.012113009673967353,0.016065236051040564,1.0
