model,learner,mean_loss,min_loss,max_loss
Linear nuisance IIVM,ml_g0,1.3174479862749855,1.3174479862749855,1.3174479862749855
Linear nuisance IIVM,ml_g1,1.3562632842257976,1.3562632842257976,1.3562632842257976
Linear nuisance IIVM,ml_m,0.47318619023082464,0.47318619023082464,0.47318619023082464
Linear nuisance IIVM,ml_r0,0.36526935642510455,0.36526935642510455,0.36526935642510455
Linear nuisance IIVM,ml_r1,0.45629215551271196,0.45629215551271196,0.45629215551271196
Gradient boosting nuisance IIVM,ml_g0,1.182640050470962,1.182640050470962,1.182640050470962
Gradient boosting nuisance IIVM,ml_g1,1.2098268319434708,1.2098268319434708,1.2098268319434708
Gradient boosting nuisance IIVM,ml_m,0.48757709688731626,0.48757709688731626,0.48757709688731626
Gradient boosting nuisance IIVM,ml_r0,0.3751313249128556,0.3751313249128556,0.3751313249128556
Gradient boosting nuisance IIVM,ml_r1,0.4733994836376979,0.4733994836376979,0.4733994836376979
