estimator,design,theta_hat,true_target,bias_vs_target,std_error,ci_95_lower,ci_95_upper,section
Raw panel DID,panel,1.363478664978369,1.160607540053306,0.20287112492506298,0.019195202960476443,1.3258560671758353,1.4011012627809027,panel
OLS on outcome change with covariates,panel,1.0753315417579312,1.160607540053306,-0.0852759982953748,0.016391000703041364,1.0432057707093993,1.107457312806463,panel
Manual cross-fitted DR panel DID,panel,1.1701538702489174,1.160607540053306,0.009546330195611352,0.022567608351054952,1.1259213578808496,1.2143863826169852,panel
Panel observational linear,panel,1.1716236950893215,1.160607540053306,0.011016155036015496,0.018216568067544403,1.1359198777550121,1.207327512423631,panel
Panel observational HGB,panel,1.1712995340804984,1.160607540053306,0.010691994027192342,0.01857396307308575,1.1348952354070734,1.2077038327539233,panel
Panel experimental HGB,panel,1.0878351196018792,1.160607540053306,-0.07277242045142684,0.0155167081259999,1.0574229305162992,1.1182473086874591,panel
Raw repeated CS DID,repeated cross-section,1.2946864000648182,1.1591644495926068,0.13552195047221138,,,,repeated cross-section
Repeated CS observational linear,repeated cross-section,1.1428446103151906,1.1591644495926068,-0.016319839277416204,0.03153571770422654,1.0810357393882843,1.2046534812420968,repeated cross-section
Repeated CS observational HGB,repeated cross-section,1.0957555622015218,1.1591644495926068,-0.06340888739108497,0.041543271265157854,1.0143322467218345,1.177178877681209,repeated cross-section
Repeated CS experimental HGB,repeated cross-section,1.0645660798009402,1.1591644495926068,-0.09459836979166658,0.028160337619882594,1.009372832273482,1.1197593273283983,repeated cross-section
