estimator,theta_hat,std_error,ci_95_lower,ci_95_upper,true_target,bias_vs_target,section,design
Selected-row treated-control difference,1.6758668908397185,,,,1.0323264164059247,0.6435404744337938,MAR data baselines,
Synthetic full-population treated-control difference,1.7329464218544444,,,,1.0323264164059247,0.7006200054485197,MAR data baselines,
Selected-row OLS with covariates,1.0658523680744858,0.026952319505403683,1.0130267925440781,1.1186779436048935,1.0323264164059247,0.033525951668561094,MAR data baselines,
Manual cross-fitted MAR SSM,1.0035134480139534,0.030544290154192404,0.9436466393117362,1.0633802567161705,1.0323264164059247,-0.02881296839197134,MAR data manual score,
MAR linear,1.0015390629593879,0.030564189199460114,0.9416343529117779,1.0614437730069979,1.0323264164059247,-0.030787353446536825,MAR data DoubleML,missing-at-random
MAR HGB,1.0027854087372294,0.036305329417555564,0.931628270631958,1.073942546842501,1.0323264164059247,-0.029541007668695274,MAR data DoubleML,missing-at-random
MAR HGB normalized IPW,1.023997609136719,0.016951781904903946,0.9907727271293293,1.0572224911441084,1.0323264164059247,-0.008328807269205818,MAR data DoubleML,missing-at-random
MAR score on nonignorable data,1.027318193548285,0.03557850971201913,0.957585595889119,1.0970507912074507,1.0389256675729457,-0.01160747402466078,nonignorable data,nonignorable data
Nonignorable score with selection instrument,1.0701129536627167,0.04434311037138695,0.9832020543723138,1.1570238529531198,1.0389256675729457,0.03118728608977106,nonignorable data,nonignorable data
Nonignorable score HGB,1.0410980195900759,0.04689654979794698,0.9491824709869107,1.1330135681932412,1.0389256675729457,0.0021723520171301747,nonignorable data,nonignorable data
