model,learner,metric_value,metric
MAR linear,ml_g_d0,2.237298511288308,RMSE for outcome learners; classification error style score for propensity learners
MAR linear,ml_g_d1,2.838364562672331,RMSE for outcome learners; classification error style score for propensity learners
MAR linear,ml_pi,0.4462214154381584,RMSE for outcome learners; classification error style score for propensity learners
MAR linear,ml_m,0.4771821744571535,RMSE for outcome learners; classification error style score for propensity learners
MAR HGB,ml_g_d0,2.252665503403064,RMSE for outcome learners; classification error style score for propensity learners
MAR HGB,ml_g_d1,2.859071539931803,RMSE for outcome learners; classification error style score for propensity learners
MAR HGB,ml_pi,0.4503432634263852,RMSE for outcome learners; classification error style score for propensity learners
MAR HGB,ml_m,0.4796547786009444,RMSE for outcome learners; classification error style score for propensity learners
MAR HGB normalized IPW,ml_g_d0,2.2527884097437942,RMSE for outcome learners; classification error style score for propensity learners
MAR HGB normalized IPW,ml_g_d1,2.8644275952834977,RMSE for outcome learners; classification error style score for propensity learners
MAR HGB normalized IPW,ml_pi,0.44876024932879766,RMSE for outcome learners; classification error style score for propensity learners
MAR HGB normalized IPW,ml_m,0.4822467162204529,RMSE for outcome learners; classification error style score for propensity learners
