learner,feature,mean_importance,std_importance
ml_l,x01,0.29590682497945775,0.021923898935217033
ml_l,x00,0.2863159427224069,0.014810510960906667
ml_l,x02,0.14939178889114274,0.022065060253972296
ml_l,x07,0.06743245854590815,0.012499586809745496
ml_l,x04,0.053756382312244555,0.006824852167444569
ml_l,x06,0.05146190822358136,0.007330453864547234
ml_l,x03,0.048495973105622106,0.011742172959790156
ml_l,x05,0.04723872121963635,0.012412019191559313
ml_m,x01,0.3678808641959201,0.02352617625449216
ml_m,x00,0.27173523783154063,0.0069908227936663755
ml_m,x02,0.19264717365568038,0.029386680476930927
ml_m,x07,0.037567007908484,0.004727135605809077
ml_m,x03,0.035472448173912895,0.005339368126008905
ml_m,x04,0.03523998565116576,0.00637583447652011
ml_m,x05,0.030131474978714434,0.006109344261049291
ml_m,x06,0.029325807604581804,0.005803310915671837
