model,n_controls,estimate,std_error,ci_95_lower,ci_95_upper,true_theta,absolute_error,outcome_rmse,treatment_rmse,resid_treatment_sd,mean_resid_treatment_sq,score_denominator,split_seed
split_seed_1717,9,1.009349021026337,0.023878679786956625,0.962546808643902,1.056151233408772,1.0,0.009349021026336946,1.4502919434284625,1.014966572664891,1.0149664816270958,1.0301571436271155,1.0301571436271155,1717
split_seed_1718,9,1.0138831601331029,0.024059556993889984,0.9667264284250785,1.0610398918411272,1.0,0.013883160133102868,1.4525997427100668,1.0128984717632503,1.012898395392717,1.0259633141003281,1.0259633141003281,1718
split_seed_1719,9,1.0130021489508434,0.02398398676749525,0.9659935348865527,1.060010763015134,1.0,0.013002148950843395,1.452018128032097,1.0124240377285734,1.0124238432047388,1.025002432170628,1.025002432170628,1719
split_seed_1720,9,1.0124514812643803,0.024002376791142685,0.9654068227537407,1.05949613977502,1.0,0.012451481264380337,1.4511517073869804,1.0121700644263638,1.0121699325997773,1.0244882393208696,1.0244882393208696,1720
split_seed_1721,9,1.0128447464676515,0.02398886777404623,0.9658265656305209,1.0598629273047822,1.0,0.012844746467651547,1.451558418692058,1.0130136914812458,1.0130136259301468,1.0261967391284605,1.0261967391284605,1721
split_seed_1722,9,1.014249910684466,0.02403326995710526,0.9671447015685397,1.0613551198003923,1.0,0.014249910684466016,1.4528059020040673,1.01307155520452,1.0130715419149396,1.0263139759645048,1.0263139759645048,1722
split_seed_1723,9,1.0112194142131212,0.0240451184418111,0.9640909820671715,1.058347846359071,1.0,0.011219414213121226,1.4497926902326679,1.011734060689332,1.0117332324859505,1.0236058095589247,1.0236058095589247,1723
split_seed_1724,9,1.0134855321046112,0.024052449546636455,0.9663427309932038,1.0606283332160187,1.0,0.01348553210461123,1.4510072303893016,1.0113335896919475,1.0113315404846197,1.0227956296392007,1.0227956296392007,1724
split_seed_1725,9,1.0139913483326752,0.023953333700929953,0.9670428142788525,1.060939882386498,1.0,0.013991348332675235,1.4531410919975216,1.013407568461121,1.0134072343275646,1.0269948998142817,1.0269948998142817,1725
split_seed_1726,9,1.0140711576340342,0.0239883613048334,0.9670539694765607,1.0610883457915077,1.0,0.014071157634034215,1.4546484329895164,1.0148361164158723,1.0148351560086162,1.0298923431820501,1.0298923431820501,1726
split_seed_1727,9,1.011632096287953,0.023980166058744735,0.9646309708128133,1.0586332217630927,1.0,0.011632096287953031,1.448528006834687,1.0103314682423512,1.01033144849448,1.0207696757207452,1.0207696757207452,1727
split_seed_1728,9,1.0136275145817013,0.023965640716338995,0.9666548587776769,1.0606001703857257,1.0,0.013627514581701305,1.452883013270885,1.0133276141613576,1.0133254118084865,1.0268328536219493,1.0268328536219493,1728
split_seed_1729,9,1.0144713923364688,0.023928254887347327,0.967572012757268,1.0613707719156695,1.0,0.014471392336468769,1.454403451269056,1.0130900967989573,1.0130898094533674,1.026351544232121,1.026351544232121,1729
split_seed_1730,9,1.0167186775601884,0.02408067043025827,0.9695205635168822,1.0639167916034946,1.0,0.01671867756018841,1.4581598209090336,1.013222702342793,1.013222419084515,1.0266202445428325,1.0266202445428325,1730
