feature_exposure,weekly_value,user_engagement,prior_activity,is_power_segment,account_age_weeks,treatment_probability
1,6.8169068897039695,0.30471707975443135,0,0,7.128566670346707,0.4843110731286927
0,5.3004693767832345,-1.0399841062404955,1,0,1.6150204600070421,0.21439887976326943
1,9.091265207191844,0.7504511958064572,0,1,3.7485149405675133,0.664094901916646
1,8.232118993273868,0.9405647163912139,6,0,7.299609601652407,0.6796078549210155
0,3.5495683250303482,-1.9510351886538364,0,0,2.9432331070611624,0.110583072684167
0,3.2565782109242982,-1.302179506862318,2,0,6.089871370612313,0.20349275929569574
1,7.310466071630808,0.12784040316728537,7,0,5.8236728251150085,0.5173071237023075
1,8.20646730839116,-0.3162425923435822,1,1,4.725567698084102,0.46116164387716907
1,5.148712966733459,-0.016801157504288795,1,1,1.4459682459077605,0.5042169555777728
0,4.785995105262839,-0.85304392757358,1,0,2.6711714793261407,0.2472546800280187
0,6.130769991611397,0.8793979748628286,2,0,18.021580616779293,0.687407702930262
0,5.8029178818167235,0.7777919354289483,5,0,3.546522313715422,0.6165159590219706
0,7.821421020482692,0.06603069756121605,2,1,3.914805957679586,0.5483475274026878
1,9.111135898748442,1.1272412069680329,7,1,3.897836715326893,0.7892816705363938
1,9.489632478276954,0.4675093422520456,2,1,8.865190019563459,0.6590385684096493
1,7.104432335864597,-0.8592924628832382,4,1,4.075593614926071,0.37789118130533994
0,6.746687249416055,0.36875078408249884,3,1,4.810673491974447,0.626844903056787
0,4.150646615352314,-0.9588826008289989,6,0,5.591208475236481,0.28796871612085384
1,8.946529823088806,0.8784503013072725,4,1,9.575331124408368,0.7532582772910031
0,6.687933017007156,-0.049925910986252896,1,0,4.828277037579744,0.4069157990269537
0,6.667493011699564,-0.18486236354526056,4,1,5.245133817339018,0.5259754279043234
0,3.7871704787552605,-0.6809295444039414,1,0,3.0686615027144093,0.2774644962865522
1,8.209305449810763,1.2225413386740303,6,0,6.195928340798406,0.7239336174697861
0,5.081382909914689,-0.15452948206880215,8,0,7.558165666159873,0.4794126665898521
0,6.482818468576047,-0.4283278221631072,4,1,7.938312244576693,0.4910957308100693
1,8.366702383013227,-0.3521335504882296,2,0,16.192807466050525,0.4244594201577052
1,9.062083965969164,0.5323091855533487,3,1,2.504614091129227,0.6456741877981222
1,6.167879360527413,0.36544406436407834,2,0,4.985766935417622,0.5063175707981926
0,6.73325434872005,0.4127326115959884,4,0,4.097429103885027,0.5332653996953934
1,10.19176063798066,0.43082100300788273,5,1,14.270504348916997,0.7105301965343623
1,11.182419001697628,2.1416476008704612,6,1,8.157352496266327,0.9041606994425361
1,8.72263215616162,-0.4064150163846156,3,0,1.0389540619984592,0.3352623900029526
0,3.9185394476210247,-0.5122427290715373,4,1,2.847521710763781,0.4417116536045646
0,4.818171124643165,-0.8137727282478777,1,0,3.708938363947725,0.2584609203104668
1,7.216933929297336,0.6159794225754956,5,0,1.2127346137397392,0.5692767381151801
1,10.504631068637469,1.1289722927208916,4,1,5.28083932121869,0.7723533368802045
0,6.300274448201014,-0.11394745765487507,3,1,3.1848429137107885,0.5169349532381387
0,6.369204084231991,-0.840156476962528,2,0,16.668389584018307,0.3301684540422489
1,6.772644061807449,-0.8244812156912396,2,0,6.1587017165945355,0.27751102656486887
0,5.869456979066446,0.6505927878247011,4,0,3.5897457651581814,0.579993695988466
0,6.277289627046144,0.7432541712034423,3,1,2.0709805634231717,0.6832051029471324
1,7.755675228525337,0.543154268305195,2,0,4.658397358044847,0.5419365116420161
0,4.187575023708929,-0.6655097072886943,2,0,13.448722813669447,0.34536744599647223
1,8.932982895625424,0.23216132306671977,2,0,4.135473493046726,0.472708143325667
0,7.308050891676177,0.11668580914072822,3,1,4.690702101050233,0.5747970628751234
0,4.842978417256017,0.21868859672901295,3,1,10.508356215021694,0.6303210141393055
0,7.01203166437409,0.8714287779481898,2,1,6.027136998626553,0.7173577864471691
1,8.195356072756857,0.22359554877468227,1,1,8.739678084987464,0.5995398464462559
1,8.035791491853617,0.6789135630718949,3,1,6.483304722026716,0.6951184975746795
1,8.852668346006324,0.06757906948889146,8,1,6.2188521198973845,0.6278287901127939
0,6.946026978967902,0.28911939868998415,1,0,0.9773640947639975,0.45392746242401627
1,9.666704299084417,0.6312882258385404,5,1,1.8073540513682993,0.6806539776239117
0,4.779432234206066,-1.4571558198556664,2,0,5.555547035880934,0.18098418071068648
0,4.753524975016461,-0.31967121635730134,4,1,2.252180127220402,0.4786589659095864
1,7.144892177773574,-0.4703726542927955,1,1,4.662295186251318,0.42843005382366117
1,6.033319348228144,-0.6388778482433419,1,1,1.6502743403544684,0.3759464867078128
0,5.278772229025044,-0.27514225122668373,1,0,10.567569501305579,0.39539701071626404
1,10.327999241509055,1.4949413112343959,6,1,2.5041542599030437,0.8253904157426827
0,5.2962122369476665,-0.8658311156932432,5,0,2.0651560649325216,0.27701285142486093
1,9.931347625482159,0.9682783545914808,4,0,1.3031303555426157,0.6307917341421521
0,3.817491737276387,-1.6828697716158048,1,0,7.874842547705717,0.15596422301627105
0,3.9241964638507665,-0.33488502998577485,1,0,4.657228855771801,0.34904911428211116
1,6.3284311566654035,0.1627530651050056,2,0,10.300829545103806,0.49646526987886336
1,8.454709782467864,0.5862223313592781,1,0,3.0866906998490826,0.5300777028560263
0,8.057966522938202,0.711226579792855,1,1,1.7616953448759092,0.6555633992192434
0,6.64140235227287,0.7933472351999252,0,1,4.4947607860403265,0.6762769181208572
1,6.111452163832552,-0.3487250722484376,3,1,11.739610662951325,0.5205069786029781
0,7.252206720811978,-0.46235179266456716,3,1,0.9502698189300149,0.42941403333807965
1,9.842548160292854,0.8579758812571538,7,1,5.925832149903668,0.7581246491921891
1,8.013831444270542,-0.1913043248816149,5,1,6.379518352250477,0.5428643459681738
1,4.645839198519873,-1.2756863233379219,1,0,13.07341899551827,0.22925937477827085
0,3.613200717800535,-1.1332872140034806,0,0,2.341929103653566,0.19706408801745726
0,4.757973811417806,-0.9194522860016113,3,0,0.8792540341449075,0.24516770868664836
1,8.409941754623805,0.49716074405376404,2,0,3.3537355600121854,0.5240888419124615
1,7.344818776422254,0.14242573607056525,1,1,8.651748256098394,0.5823324156166798
0,6.8074090806702685,0.6904853540677682,4,1,4.894780111322283,0.6983139866805015
0,4.434994357806929,-0.42725264633653426,5,0,6.880983336039589,0.3855302204709688
0,7.666386383371082,0.15853969107671423,3,1,1.8707734024986613,0.5662403540821871
1,9.486267709947347,0.6255903939673367,2,1,3.9375406384565297,0.661545780628686
0,4.884602075679921,-0.3093465397202384,2,1,5.036248197195743,0.47575943021750083
1,6.618768032828695,0.45677523755741145,2,0,1.1143294286365193,0.5015292921410904
1,6.647708598851759,-0.6619259410666513,1,0,5.013241333571486,0.290634175899353
0,4.224530987316174,-0.3630538465650718,1,0,3.643945918934852,0.3379379191931107
1,7.022766901052817,-0.3817378939983291,2,0,25.91109423177501,0.4783386035898427
0,2.5324727866011605,-1.1958396455890397,1,0,4.742615314245144,0.20539693654808344
0,5.268508141337269,0.4869724807855818,3,0,13.561754694591837,0.5957940373983092
1,7.257748234790036,-0.46940234020272387,0,1,6.843370816435103,0.43096680114457453
0,5.538422942450881,0.01249411872768743,2,1,4.30196786489699,0.539460067662356
1,11.38791817631713,0.48074665890590895,5,1,12.214437790625226,0.708682857183627
1,8.543224472363109,0.4465311760299441,4,0,1.6160170285456041,0.5249671987959748
0,5.632023847629086,0.6653851089727862,4,1,3.2906129125492534,0.6852149728048047
0,4.1868739315425,-0.09848548450942361,1,1,9.0180434807288,0.5341314421012503
0,5.100046752352422,-0.42329831204415375,3,0,0.40543897839069387,0.328568294782815
0,4.878110032332614,-0.07971821090639905,3,0,4.620360041264988,0.4213457293169869
0,4.435620391215165,-1.6873344339580298,2,0,4.589340195198313,0.1506514486440728
0,3.7340720805624175,-1.4471124724230873,2,0,5.781815208416361,0.18309760911307318
0,1.9971494507291032,-1.3226996123544024,1,1,3.9726418828053145,0.26308824848132667
0,2.9469815852437646,-0.9972468276014818,0,0,8.760891984774089,0.2444126323846322
1,7.817925354942496,0.3997742267234366,5,1,2.4500305403052325,0.6401600459154592
