stratum,rows,treated_rows,control_rows,mean_propensity,within_stratum_effect
"(0.0186, 0.197]",450,57,393,0.1374755273289663,2.0659860497817246
"(0.197, 0.284]",450,111,339,0.24115321205857254,1.68306792845208
"(0.284, 0.362]",450,151,299,0.32117511279622446,1.4366239097198195
"(0.362, 0.44]",450,179,271,0.4009637574394364,1.4652931489526484
"(0.44, 0.513]",450,216,234,0.4760629306397308,1.7826745288624561
"(0.513, 0.586]",450,250,200,0.5482764963738659,1.8445455787030394
"(0.586, 0.659]",450,281,169,0.6229101967166286,1.614905697241939
"(0.659, 0.742]",450,305,145,0.7000996138060167,1.792125119362452
"(0.742, 0.828]",450,349,101,0.7847799118795972,1.7068042446007619
"(0.828, 0.985]",450,403,47,0.8827422834158308,2.2642478575991554
